feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Roseburia.12	Time_c	Time_c	-0.0917039577150612	0.00247707588485241	1071	933	2.95683274715841e-181	1.76522915005357e-178
S__Roseburia__hominis	Time_c	Time_c	-0.0842245600371496	0.00244702796772843	1071	911	4.26205717892014e-164	1.27222406790766e-161
G__Alistipes.3	Time_c	Time_c	-0.0530268798702284	0.00171757419473617	1071	1016	2.7714632627609e-139	5.51521189289419e-137
G__Faecalibacterium.12	Time_c	Time_c	-0.0610195758657678	0.00225427018325306	1071	1021	5.4863640578811e-118	8.18839835638754e-116
S__Bacteroides__dorei.1	Time_c	Time_c	-0.0395306390081483	0.00145211977418345	1071	1003	4.06807372616637e-116	4.85728002904265e-114
G__Roseburia.14	Time_c	Time_c	-0.0766548640342592	0.00297212056107673	1071	654	5.12739048974731e-111	5.10175353729857e-109
S__Butyrivibrio__crossotus	Time_c	Time_c	-0.0746149874095074	0.00286287817908379	1071	654	1.81083023336662e-110	1.54437949902839e-108
S__Bacteroides__vulgatus.1	Time_c	Time_c	-0.0449563781238961	0.00178022676912719	1071	956	2.87730636880987e-104	2.14718987772436e-102
G__Eubacterium__eligens__group.1	Time_c	Time_c	-0.0621003751943263	0.00249669132032748	1071	922	5.41072449832834e-104	3.58911391722447e-102
G__Alistipes.12	Time_c	Time_c	-0.0568733524471212	0.00226407123754618	1071	775	2.96085832363941e-103	1.76763241921273e-101
S__Bacteroides__vulgatus.6	Time_c	Time_c	-0.0390664406212212	0.00161009002338252	1071	1034	3.29922803953554e-98	1.79058103600247e-96
S__Odoribacter__splanchnicus	Time_c	Time_c	-0.0608903380333006	0.00255275542578141	1071	896	7.08434082835879e-98	3.5244595621085e-96
S__Bacteroides__cellulosilyticus	Time_c	Time_c	-0.0476487008075832	0.0020800130004091	1071	962	4.55629535757633e-90	2.09239102190236e-88
S__Alistipes__onderdonkii.3	Time_c	Time_c	-0.0437843885748955	0.00192145630511429	1071	1036	1.4964859400226e-89	6.38144361566779e-88
S__Odoribacter__splanchnicus.3	Time_c	Time_c	-0.0555932462575036	0.0024774486729874	1071	899	5.75289610530991e-89	2.28965264991334e-87
