feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Roseburia.12	Time_c	Time_c	-0.0928259725783162	0.00335150970654785	500	379	1.28109415698798e-92	7.57126646779893e-90
G__Alistipes.3	Time_c	Time_c	-0.0525074620061532	0.00198337321828365	500	488	9.36296362482516e-88	2.76675575113584e-85
S__Roseburia__hominis	Time_c	Time_c	-0.0840303756380642	0.00329366278913008	500	373	6.96110027377787e-84	1.37133675393424e-81
S__Bacteroides__dorei.1	Time_c	Time_c	-0.0431923110040097	0.00178618287831086	500	492	1.8662940266788e-78	2.75744942441793e-76
G__Roseburia.14	Time_c	Time_c	-0.0806098714675449	0.0034841615852004	500	248	3.80299116630267e-74	4.49513555856976e-72
G__Alistipes.12	Time_c	Time_c	-0.0605669846554755	0.00268037810238133	500	363	6.5936940478918e-72	6.49478863717342e-70
S__Butyrivibrio__crossotus	Time_c	Time_c	-0.0780922660350038	0.00367556136623755	500	262	2.85309741966738e-66	2.4088293928906e-64
S__Bacteroides__vulgatus.6	Time_c	Time_c	-0.0424157255910128	0.00206922200978916	500	488	3.92788868306729e-63	2.90172776461596e-61
S__Bacteroides__vulgatus.1	Time_c	Time_c	-0.0487431632855504	0.00238256355674999	500	443	5.79044889733016e-63	3.80239477591348e-61
S__Alistipes__onderdonkii.3	Time_c	Time_c	-0.0467356459382805	0.00229382137482162	500	485	1.30179699151851e-62	7.69362021987439e-61
G__Eubacterium__eligens__group.1	Time_c	Time_c	-0.064730843750406	0.00317928508621073	500	386	1.49637364076525e-62	8.03960746992967e-61
S__Odoribacter__splanchnicus	Time_c	Time_c	-0.066561523596274	0.00331850116030607	500	400	2.79979543488816e-61	1.37889925168242e-59
S__Bacteroides__vulgatus.11	Time_c	Time_c	-0.041434293316797	0.00208100075235368	500	489	1.16262868047156e-60	5.28548884737457e-59
F__Barnesiellaceae	Time_c	Time_c	-0.0737554582804093	0.00376642898319624	500	350	2.80423160255815e-59	1.18378634079419e-57
S__Bacteroides__vulgatus.30	Time_c	Time_c	-0.0501369866909995	0.00260863472685738	500	438	9.43922927233593e-58	3.71905633330036e-56
G__Faecalibacterium.12	Time_c	Time_c	-0.0592442329693895	0.00309139705983801	500	466	1.61512490219593e-57	5.96586760748622e-56
S__Bacteroides__cellulosilyticus	Time_c	Time_c	-0.0538774616804796	0.00286994860470936	500	460	7.16861310811472e-56	2.49214726287988e-54
S__Odoribacter__splanchnicus.3	Time_c	Time_c	-0.0589451002113236	0.00314666987589663	500	405	1.06082643156435e-55	3.48304678363629e-54
G__Roseburia.4	Time_c	Time_c	-0.0782789818324866	0.00420059616166287	500	264	2.72441462754568e-55	8.47436339410261e-54
G__CAG_352.3	Time_c	Time_c	-0.0457909373081579	0.00251212242413304	500	447	1.40710527298864e-53	4.15799608168143e-52
S__Alistipes__shahii.2	Time_c	Time_c	-0.0450519056435854	0.00248908968622987	500	447	4.86853098389897e-53	1.37014371975442e-51
G__CAG_352.4	Time_c	Time_c	-0.0560607833200857	0.00314506947211678	500	359	6.94513179057007e-52	1.86571494919405e-50
S__Parabacteroides__distasonis.5	Time_c	Time_c	-0.0430814745616553	0.00243303690921803	500	456	2.17474417127078e-51	5.58814697922187e-50
S__Bacteroides__plebeius	Time_c	Time_c	-0.065678053543901	0.00375003172352171	500	246	1.40085488701779e-50	3.44960515928131e-49
S__Akkermansia__muciniphila.2	Time_c	Time_c	-0.0563844676515422	0.00322819238123789	500	346	2.22065789069956e-50	5.24963525361377e-49
S__Bacteroides__massiliensis	Time_c	Time_c	-0.0399272149679872	0.00233718361035256	500	437	8.89321948450519e-49	2.02149719820868e-47
G__Clostridia__UCG_014.30	Time_c	Time_c	-0.0517080050497265	0.00305619118230057	500	372	4.32495073165831e-48	9.46683660151875e-47
S__Parabacteroides__merdae	Time_c	Time_c	-0.0386669604213028	0.00230386546185673	500	470	1.59208658249937e-47	3.36043989377545e-46
S__Bacteroides__caccae	Time_c	Time_c	-0.0426800631323553	0.00255005339154078	500	409	2.49054466806625e-47	5.07555827181776e-46
G__Christensenellaceae__R_7__group.10	Time_c	Time_c	-0.0545875089270937	0.00330160740943482	500	254	1.75189971104255e-46	3.45124243075382e-45
S__Bacteroides__vulgatus.12	Time_c	Time_c	-0.040677733490865	0.00247326888444281	500	327	4.01959456727393e-46	7.66316254599642e-45
G__Barnesiella.17	Time_c	Time_c	-0.0455844580010001	0.00279508872856272	500	342	1.50886276195571e-45	2.78668091348695e-44
G__Faecalibacterium.39	Time_c	Time_c	-0.0379195716124199	0.00233435874092383	500	496	2.80032759740787e-45	5.01513215172138e-44
S__Bacteroides__finegoldii.1	Time_c	Time_c	-0.0455917953930688	0.0028106582084405	500	374	3.49117021732867e-45	6.06847528953306e-44
G__Clostridia__UCG_014.13	Time_c	Time_c	-0.0560210671660679	0.00350016581738609	500	270	2.73913247804149e-44	4.51672520506084e-43
G__Coprobacter.1	Time_c	Time_c	-0.0501776344344023	0.00313516238242016	500	274	2.75130469343807e-44	4.51672520506084e-43
S__Akkermansia__muciniphila.5	Time_c	Time_c	-0.0501176208438165	0.0031346220507212	500	293	3.21657066875112e-44	5.13781963576192e-43
S__Alistipes__finegoldii.2	Time_c	Time_c	-0.0515569432271053	0.00330362408969463	500	405	1.22021461099016e-42	1.89775482919786e-41
G__Coprococcus.3	Time_c	Time_c	-0.0463043954602545	0.00299737806824017	500	424	5.45023535923932e-42	8.2592028136165e-41
G__Coprococcus.7	Time_c	Time_c	-0.0497982490832328	0.00323428231853044	500	252	8.85749207652328e-42	1.30869445430631e-40
S__Bacteroides__sp.	Time_c	Time_c	-0.0417518903875973	0.00272498159800715	500	349	1.80217039861218e-41	2.5977626965361e-40
G__Bacteroides.6	Time_c	Time_c	-0.0321599521985692	0.00215360741748642	500	485	7.03758820746098e-40	9.90289197764153e-39
G__Ruminococcus.7	Time_c	Time_c	-0.0322641042657674	0.00218129714981304	500	420	2.6635857668218e-39	3.66088183300392e-38
S__Eubacterium__siraeum.1	Time_c	Time_c	-0.0488770882491825	0.00332302604505884	500	398	5.7764648184808e-39	7.75884251755034e-38
S__Alistipes__obesi	Time_c	Time_c	-0.0413041656120781	0.00281709976328601	500	453	8.93883088101688e-39	1.17396645570688e-37
G__Clostridia__UCG_014.25	Time_c	Time_c	-0.0705012149480224	0.00482323908654503	500	194	1.36093957292539e-38	1.74851149478023e-37
S__Alistipes__onderdonkii	Time_c	Time_c	-0.0324921195836608	0.00222393869382536	500	261	1.4504532770681e-38	1.82386784414308e-37
G__Anaeroplasma.1	Time_c	Time_c	-0.0598104310968905	0.00409841960942349	500	144	1.69432185712849e-38	2.08613378658945e-37
S__Lactobacillus__mucosae.2	Time_c	Time_c	0.0626417410130278	0.00432321918053466	500	208	4.46926617265531e-38	5.39048226130467e-37
S__Lactobacillus__fermentum	Time_c	Time_c	0.0631317510754942	0.00437963407416555	500	170	8.96893153683291e-38	1.06012770765365e-36
G__Ruminococcus__torques__group.2	Time_c	Time_c	-0.0452790972850752	0.00314193930205755	500	409	9.27911846647023e-38	1.07528608111449e-36
G__Coprococcus.5	Time_c	Time_c	-0.0530547129767263	0.00369665520700249	500	238	1.60826379845721e-37	1.82785366324656e-36
G__Enterococcus.2	Time_c	Time_c	0.0522305205088172	0.00365190581902233	500	357	2.55546128140677e-37	2.84958041002152e-36
S__Bacteroides__uniformis.12	Time_c	Time_c	-0.0238735491855193	0.00167270303818297	500	491	3.37110782425064e-37	3.68949022987431e-36
G__Alistipes.8	Time_c	Time_c	-0.042376392478315	0.00299599812933338	500	317	1.10574089880089e-36	1.18816885671151e-35
G__Christensenellaceae__R_7__group.7	Time_c	Time_c	-0.0419391324225856	0.00296868230084485	500	376	1.2959573767323e-36	1.36769787437284e-35
G__Christensenellaceae__R_7__group.9	Time_c	Time_c	-0.0466609558669935	0.003321528041475	500	429	2.69480624962633e-36	2.79408858513888e-35
S__Bacteroides__massiliensis.3	Time_c	Time_c	-0.0399323521263448	0.00284569246838648	500	432	3.10914997045052e-36	3.16811660782113e-35
G__Eubacterium__coprostanoligenes__group.3	Time_c	Time_c	-0.0459830137580667	0.00329052702658188	500	244	5.32116277577002e-36	5.33018169572896e-35
G__Blautia.36	Time_c	Time_c	-0.0276183978942467	0.00197938158816722	500	490	6.47755945822424e-36	6.38039606635088e-35
S__Parabacteroides__distasonis.21	Time_c	Time_c	-0.0364699731480606	0.00261660037254733	500	340	7.44676588251872e-36	7.21481743699764e-35
