feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Roseburia	Time_c	Time_c	-0.0737571559437216	0.00222462122830605	1071	1047	1.88506178875139e-158	1.99816549607647e-156
Alistipes	Time_c	Time_c	-0.0438772004435911	0.00135317200041351	1071	1070	9.624586553439e-152	5.10103087332267e-150
Odoribacter	Time_c	Time_c	-0.0598409239737417	0.00229601112459424	1071	968	1.89645899131423e-112	6.70082176931029e-111
Lactobacillus	Time_c	Time_c	0.103013673753158	0.00393379673842131	1071	586	4.71452007089372e-112	1.24934781878684e-110
Butyrivibrio	Time_c	Time_c	-0.0748215306786544	0.00287062049869466	1071	654	1.78624769270399e-110	3.78684510853246e-109
Parabacteroides	Time_c	Time_c	-0.0379168763138757	0.00154450972753445	1071	1051	2.5823916999787e-100	4.56222533662903e-99
Bacteroides	Time_c	Time_c	-0.025561941608198	0.00107252433497995	1071	1071	3.95051269388631e-97	5.98220493645642e-96
Akkermansia	Time_c	Time_c	-0.0597729593409217	0.00265807513054175	1071	932	1.02786893507153e-88	1.36192633896978e-87
X.Ruminococcus._torques_group	Time_c	Time_c	-0.0454403924237271	0.00220394515835227	1071	956	4.01448155040378e-77	4.72816715936446e-76
Barnesiella	Time_c	Time_c	-0.0446380602458243	0.00223999878456972	1071	982	1.43983217039199e-72	1.52622210061551e-71
Enterococcus	Time_c	Time_c	0.0913768982959066	0.00465506903074821	1071	715	3.75601663850391e-72	3.61943421528559e-71
CAG.352	Time_c	Time_c	-0.0406591360967489	0.00210320357384088	1071	936	1.14476080628863e-68	1.01120537888829e-67
Anaeroplasma	Time_c	Time_c	-0.0633032420767852	0.00335927798328261	1071	524	9.81416077499682e-67	8.00231570884356e-66
Coprobacter	Time_c	Time_c	-0.0458738102922506	0.00250795186174223	1071	686	2.63558322345867e-63	1.99551301204728e-62
X.Eubacterium._coprostanoligenes_group	Time_c	Time_c	-0.0500395748555882	0.00274673646893317	1071	930	4.69084407669932e-63	3.31486314753418e-62
Citrobacter	Time_c	Time_c	0.076108494910903	0.00424998167345722	1071	555	4.42495798282195e-62	2.93153466361954e-61
X.Eubacterium._siraeum_group	Time_c	Time_c	-0.0473335803648163	0.00273386776504371	1071	863	4.44615571929413e-58	2.77230886026575e-57
Ruminococcus	Time_c	Time_c	-0.031156053655045	0.00193414049404546	1071	1028	8.34031747784837e-51	4.91152029251071e-50
X.Eubacterium._ventriosum_group	Time_c	Time_c	-0.0525322690029272	0.00347979884339683	1071	605	2.53730596144382e-46	1.4155496416476e-45
Klebsiella	Time_c	Time_c	0.0574093660986016	0.00385456425330593	1071	862	6.66326194261948e-45	3.53152882958832e-44
Butyricimonas	Time_c	Time_c	-0.0516073000675277	0.00348843779799687	1071	588	1.37064300885661e-44	6.9184837589905e-44
X.Eubacterium._ruminantium_group	Time_c	Time_c	-0.0448894355918241	0.00311471278364312	1071	658	2.68245460769989e-42	1.29245540189177e-41
Weissella	Time_c	Time_c	0.0479297443307443	0.00341256386412536	1071	318	1.44612349392309e-40	6.66474305894991e-40
Bilophila	Time_c	Time_c	-0.0378113291376403	0.00276040248898836	1071	816	5.2818525954562e-39	2.33281822965982e-38
Paraprevotella	Time_c	Time_c	-0.0325323852699031	0.00239489093010461	1071	939	5.31047771071939e-38	2.25164254934502e-37
Sutterella	Time_c	Time_c	-0.0228240264100368	0.00171453880177096	1071	1041	8.97301305792685e-37	3.65822840053941e-36
Defluviitaleaceae_UCG.011	Time_c	Time_c	-0.0337610274506269	0.00259431392137554	1071	677	1.66785183099535e-35	6.54786274390768e-35
X.Eubacterium._eligens_group	Time_c	Time_c	-0.0299515126044964	0.00230271965615224	1071	1042	1.83680448487089e-35	6.9536169784398e-35
X.Eubacterium._xylanophilum_group	Time_c	Time_c	-0.0463545622076077	0.0035828700766984	1071	898	3.52520074589669e-35	1.28852165194844e-34
Lachnoclostridium	Time_c	Time_c	0.016002939787092	0.00126750956160452	1071	1071	7.43037749031216e-34	2.62540004657696e-33
Erysipelotrichaceae_UCG.003	Time_c	Time_c	-0.0356008245842484	0.00294236179834155	1071	887	2.2887203505958e-31	7.82594700526307e-31
Erysipelatoclostridiaceae	Time_c	Time_c	-0.0290245051509464	0.00248005335573752	1071	743	2.34550423153721e-29	7.769482766967e-29
Izemoplasmatales	Time_c	Time_c	-0.0284263166143872	0.00245874367743765	1071	413	8.6131355471558e-29	2.76664353938944e-28
Lachnospiraceae_NK4A136_group	Time_c	Time_c	-0.0183774586353884	0.00160070647754009	1071	1066	1.9028034247178e-28	5.93226950059078e-28
Lachnospira	Time_c	Time_c	-0.0295656075405487	0.00262154767620069	1071	1013	1.10042791421988e-27	3.33272454020879e-27
Christensenellaceae_R.7_group	Time_c	Time_c	-0.0185951021049752	0.00168013486637779	1071	1037	1.2409650700075e-26	3.65395270613319e-26
Incertae_Sedis	Time_c	Time_c	-0.0322256173422075	0.00295304652107612	1071	829	3.53969440790747e-26	1.01407461415728e-25
Lachnospiraceae_FCS020_group	Time_c	Time_c	-0.0276161728783342	0.00268612773113769	1071	864	1.31046643004392e-23	3.65551162064884e-23
Acidaminococcus	Time_c	Time_c	0.0244491325694425	0.00237559046519857	1071	723	1.98776976974191e-23	5.40265629724725e-23
X.Eubacterium._hallii_group	Time_c	Time_c	-0.0165600377381726	0.00162756939637545	1071	1068	3.91429098895064e-23	1.03728711207192e-22
Fournierella	Time_c	Time_c	-0.0185385281642593	0.00185695284896876	1071	723	3.32621711251916e-22	8.59948814456173e-22
Family_XIII_AD3011_group	Time_c	Time_c	0.036451043442357	0.00372541483770815	1071	431	1.29154281687514e-21	3.25960806163726e-21
Parasutterella	Time_c	Time_c	-0.0173362650610479	0.0017791774351774	1071	1049	2.52043280452543e-21	6.2131599367371e-21
Faecalibacterium	Time_c	Time_c	-0.0121638169684385	0.00126017322248558	1071	1071	5.12025283216425e-21	1.23351545502139e-20
Monoglobus	Time_c	Time_c	-0.0265250566010744	0.00277939823429701	1071	940	1.21028696659279e-20	2.85089818797413e-20
Dorea	Time_c	Time_c	-0.011046759245182	0.00115727425993109	1071	1068	1.34998610958208e-20	3.11083755686306e-20
