feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0001	33	3687	33	2031	27	0	87	98	6	0	22945	22	95	0	3225	39	8	13	1592	123	26	107	0	402	79	27	15	502	6	502	12	15	147	2228	1	7	78	126	28	3134	0	14	6	43	36	12	11	6	17	34	33	251	8	8	51	516	27	67	3	9	9	6	389	14	1280	38	3	16	36	9	797	269	350	966	955	0	31	534	61	1096	156	3	0	1343	426	1453	2	4	0	1051	643	9	100	81	0	43	160	77	24	14	42	51	39	60	186	0
np0002	56	1013	0	5552	7	0	20	0	0	0	18724	761	145	31	892	10	32	0	225	3	0	154	131	332	138	60	51	359	19	1108	0	90	316	767	0	12	0	10	182	673	222	20	0	0	1077	0	115	21	19	0	1728	509	10	14	24	836	99	159	3	12	7	0	12	3	22	64	220	27	27	15	4004	263	40	453	1406	71	34	16	52	18	690	4	0	225	0	2310	3	9	0	8590	4417	0	60	62	7	5	4	20	0	12	0	5	32	15	1070	0
np0003	12	1290	118	682	22	98	60	63	3	0	16944	42	86	2	904	23	4	55	250	161	30	156	0	579	50	20	9	208	9	1136	11	20	185	1276	0	0	16	20	22	2653	0	4	5	26	45	31	7	7	4	12	1	149	24	8	71	418	71	23	0	0	15	3	13	14	1516	54	2	25	18	11	642	964	148	845	2570	0	9	232	17	1515	434	1	2	277	156	705	5	10	0	904	811	3	148	49	0	103	204	128	30	22	5	158	73	32	127	0
np0004	0	195	13	639	7	0	38	11	0	0	6616	18	30	8	1016	0	2	24	4999	0	0	323	8	197	2	5	13	40	5	361	0	10	57	394	0	12	234	0	10	1856	0	0	0	78	12	0	2	13	0	0	18	81	63	6	82	484	35	17	14	12	11	0	40	47	220	172	0	33	8	6	348	2179	111	82	5318	274	0	0	3	450	868	0	0	682	0	58	0	0	4	669	89	0	111	246	1	23	364	93	0	49	0	242	16	11	191	0
np0005	177	3385	28	3987	96	4	1474	37	3	0	52177	91	3487	33	8797	222	0	65	50	0	671	611	0	8532	68	85	184	699	0	2241	0	0	479	4169	0	1160	0	59	17	20120	47	0	6	287	209	304	4	32	4	0	219	1624	21	16	4611	1246	226	82	260	1247	605	0	49	6	12569	728	12	12	80	151	1483	885	841	2821	34882	0	32	0	210	493	1805	9	12	672	33	3195	13	12	2	3384	2093	0	1212	48	51	39	190	393	180	28	1	31	393	21	441	0
np0006	0	79	0	385	18	1	48	30	16	0	11019	40	102	7	707	12	0	0	10	0	40	65	0	24	2	19	20	41	0	842	0	376	254	340	0	53	0	23	27	442	10	0	36	0	28	0	3	6	1	0	0	220	248	0	88	971	35	83	80	0	7	0	0	53	184	112	0	15	5	1	146	438	189	49	27	219	0	375	9	20	402	0	0	182	0	618	4	0	7	764	401	2	33	3	0	69	16	142	16	5	4	124	25	2	461	0
np0008	0	1117	1092	13391	52	0	585	3125	84	0	43237	212	23095	100	9239	40	54	14	2747	0	175	3425	479	9662	306	152	506	5243	47	7271	114	0	2137	5821	569	418	3591	103	320	26671	0	32	1	0	1085	610	22	7	2	0	1826	2000	363	89	2845	1293	204	416	76	7	195	0	3896	265	4396	797	15	175	10	48	814	15979	1109	835	14346	0	800	13184	893	1908	7276	11	19	5700	0	663	6	109	47	11262	917	243	2798	233	0	25	7523	1050	0	38	0	1318	567	120	5368	470
np0009	1037	784	5	99	102	0	9	9	14	0	16909	16	402	3	2362	30	0	1	23	0	0	116	13	4370	27	8	50	937	0	1558	3	10	691	1172	20	18	0	4	248	3902	0	24	0	0	176	0	2	0	0	0	199	663	160	2	665	6570	64	0	7	0	71	0	10	99	62	286	0	6	1	1	56	135	134	459	21451	647	11	4625	9	123	2625	0	0	2277	0	1113	0	4	0	1800	726	0	262	25	2	2	504	133	0	2	0	486	33	34	63	0
np0011	0	141	0	127	0	0	2816	3	0	0	2731	13	43	6	4778	0	0	3	8118	0	9	457	0	81	0	4	0	203	0	968	0	2	24	493	0	0	20	3	0	685	0	0	0	40	45	0	1	9	0	0	1	30	5	6	78	250	12	0	30	0	13	0	31	129	91	54	2	5	0	0	111	461	40	49	2493	82	0	0	0	74	491	0	2	413	0	19	0	0	384	312	16	0	30	27	4	11	99	33	0	10	0	60	16	8	64	0
np0012	0	120	1016	6424	2	0	82	324	0	0	14317	158	407	46	1008	19	23	45	621	0	11	996	5	2664	104	15	46	398	9	1430	79	0	548	1087	2	0	397	15	126	3352	0	0	2	0	104	124	10	3	9	10	89	121	162	18	241	481	43	21	0	0	36	0	348	39	2444	254	0	103	22	20	731	1333	672	376	3178	0	199	4905	119	940	1295	2	22	643	0	847	4	13	14	2803	971	32	406	111	0	24	657	473	0	39	10	106	36	41	863	137
