feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0001	0.000594766058683584	0.0664515896474659	0.000594766058683584	0.0366051474298897	0.000486626775286569	0	0.00156801960925672	0.00176627496215125	0.000108139283397015	0	0.413542642924086	0.000396510705789056	0.00171220532045274	0	0.0581248648258958	0.0007029053420806	0.00014418571119602	0.000234301780693533	0.0286929565280081	0.00221685530963881	0.000468603561387067	0.00192848388724677	0	0.00724533198760003	0.0014238338980607	0.000486626775286569	0.000270348208492538	0.00904765337755029	0.000108139283397015	0.00904765337755029	0.000216278566794031	0.000270348208492538	0.00264941244322688	0.0401557205680917	1.80232138995026e-05	0.000126162497296518	0.0014058106841612	0.00227092495133732	0.000504649989186072	0.056484752361041	0	0.000252324994593036	0.000108139283397015	0.00077499819767861	0.000648835700382092	0.000216278566794031	0.000198255352894528	0.000108139283397015	0.000306394636291544	0.000612789272583087	0.000594766058683584	0.00452382668877514	0.00014418571119602	0.00014418571119602	0.000919183908874631	0.00929997837214332	0.000486626775286569	0.00120755533126667	5.40696416985077e-05	0.000162208925095523	0.000162208925095523	0.000108139283397015	0.0070110302069065	0.000252324994593036	0.0230697137913633	0.000684882128181097	5.40696416985077e-05	0.000288371422392041	0.000648835700382092	0.000162208925095523	0.0143645014779035	0.00484824453896619	0.0063081248648259	0.0174104246269195	0.0172121692740249	0	0.000558719630884579	0.00962439622233437	0.00109941604786966	0.0197534424338548	0.0028116213683224	5.40696416985077e-05	0	0.0242051762670319	0.00767788912118809	0.0261877297959772	3.60464277990051e-05	7.20928555980102e-05	0	0.0189423978083772	0.0115889265373801	0.000162208925095523	0.00180232138995026	0.00145988032585971	0	0.00077499819767861	0.00288371422392041	0.0013877874702617	0.000432557133588061	0.000252324994593036	0.000756974983779108	0.000919183908874631	0.0007029053420806	0.00108139283397015	0.00335231778530748	0
np0002	0.000917506348816253	0.0165970344884083	0	0.0909642008683542	0.000114688293602032	0	0.000327680838862947	0	0	0	0.306774801343491	0.0124682559187352	0.00237568608175637	0.000507905300237569	0.0146145654132875	0.000163840419431474	0.000524289342180716	0	0.00368640943720816	4.91521258294421e-05	0	0.0025231424592447	0.00214630949455231	0.00543950192512493	0.00226099778815434	0.000983042516588842	0.000835586139100516	0.00588187105758991	0.0003112967969198	0.0181535184730073	0	0.00147456377488326	0.00517735725403457	0.012566560170394	0	0.000196608503317768	0	0.000163840419431474	0.00298189563365282	0.0110264602277382	0.00363725731137872	0.000327680838862947	0	0	0.0176456131727697	0	0.00188416482346195	0.000344064880806095	0.0003112967969198	0	0.0283116244777587	0.00833947734906201	0.000163840419431474	0.000229376587204063	0.000393217006635537	0.0136970590644712	0.00162202015237159	0.00260506266896043	4.91521258294421e-05	0.000196608503317768	0.000114688293602032	0	0.000196608503317768	4.91521258294421e-05	0.000360448922749242	0.00104857868436143	0.00360448922749242	0.000442369132464979	0.000442369132464979	0.000245760629147211	0.0656017039403621	0.00430900303104776	0.000655361677725895	0.00742197100024576	0.0230359629720652	0.00116326697796346	0.000557057426067011	0.000262144671090358	0.000851970181043663	0.000294912754976653	0.0113049889407717	6.55361677725895e-05	0	0.00368640943720816	0	0.0378471368886704	4.91521258294421e-05	0.000147456377488326	0	0.140738920291636	0.072368313262882	0	0.000983042516588842	0.00101581060047514	0.000114688293602032	8.19202097157369e-05	6.55361677725895e-05	0.000327680838862947	0	0.000196608503317768	0	8.19202097157369e-05	0.000524289342180716	0.000245760629147211	0.0175309248791677	0
np0003	0.000291793313069909	0.0313677811550152	0.0028693009118541	0.0165835866261398	0.000534954407294833	0.00238297872340426	0.00145896656534954	0.00153191489361702	7.29483282674772e-05	0	0.412012158054711	0.00102127659574468	0.00209118541033435	4.86322188449848e-05	0.0219817629179331	0.000559270516717325	9.72644376899696e-05	0.00133738601823708	0.0060790273556231	0.00391489361702128	0.000729483282674772	0.00379331306990881	0	0.0140790273556231	0.00121580547112462	0.000486322188449848	0.000218844984802432	0.00505775075987842	0.000218844984802432	0.0276231003039514	0.000267477203647416	0.000486322188449848	0.00449848024316109	0.0310273556231003	0	0	0.000389057750759878	0.000486322188449848	0.000534954407294833	0.0645106382978723	0	9.72644376899696e-05	0.000121580547112462	0.000632218844984802	0.00109422492401216	0.000753799392097264	0.000170212765957447	0.000170212765957447	9.72644376899696e-05	0.000291793313069909	2.43161094224924e-05	0.00362310030395137	0.000583586626139818	0.000194528875379939	0.00172644376899696	0.0101641337386018	0.00172644376899696	0.000559270516717325	0	0	0.000364741641337386	7.29483282674772e-05	0.000316109422492401	0.000340425531914894	0.0368632218844985	0.00131306990881459	4.86322188449848e-05	0.00060790273556231	0.000437689969604863	0.000267477203647416	0.0156109422492401	0.0234407294832827	0.00359878419452888	0.0205471124620061	0.0624924012158055	0	0.000218844984802432	0.00564133738601824	0.000413373860182371	0.036838905775076	0.0105531914893617	2.43161094224924e-05	4.86322188449848e-05	0.0067355623100304	0.00379331306990881	0.0171428571428571	0.000121580547112462	0.000243161094224924	0	0.0219817629179331	0.0197203647416413	7.29483282674772e-05	0.00359878419452888	0.00119148936170213	0	0.00250455927051672	0.00496048632218845	0.00311246200607903	0.000729483282674772	0.000534954407294833	0.000121580547112462	0.0038419452887538	0.00177507598784195	0.000778115501519757	0.00308814589665654	0
np0004	0	0.00627433315100228	0.000418288876733486	0.0205605070948229	0.000225232472087261	0	0.00122269056275942	0.000353936741851411	0	0	0.212876862189903	0.000579169213938672	0.000965282023231121	0.000257408539528299	0.032690884520094	0	6.43521348820747e-05	0.000772225618584897	0.160848161137746	0	0	0.0103928697834551	0.000257408539528299	0.00633868528588436	6.43521348820747e-05	0.000160880337205187	0.000418288876733486	0.00128704269764149	0.000160880337205187	0.0116155603462145	0	0.000321760674410374	0.00183403584413913	0.0126773705717687	0	0.000386112809292448	0.00752919978120274	0	0.000321760674410374	0.0597187811705653	0	0	0	0.00250973326040091	0.000386112809292448	0	6.43521348820747e-05	0.000418288876733486	0	0	0.000579169213938672	0.00260626146272403	0.00202709224878535	0.000193056404646224	0.00263843753016506	0.0155732166414621	0.00112616236043631	0.000546993146497635	0.000450464944174523	0.000386112809292448	0.000353936741851411	0	0.00128704269764149	0.00151227516972876	0.00707873483702822	0.00553428359985843	0	0.00106181022555423	0.000257408539528299	0.000193056404646224	0.011197271469481	0.0701116509540204	0.00357154348595515	0.00263843753016506	0.171112326651437	0.00881624247884424	0	0	9.65282023231121e-05	0.0144792303484668	0.0279288265388204	0	0	0.0219440779947875	0	0.00186621191158017	0	0	0.000128704269764149	0.021525789118054	0.00286367000225232	0	0.00357154348595515	0.00791531259049519	3.21760674410374e-05	0.000740049551143859	0.0117120885485376	0.00299237427201647	0	0.00157662730461083	0	0.00778660832073104	0.000514817079056598	0.000353936741851411	0.00614562888123813	0
np0005	0.000913454095061155	0.0174691644733447	0.000144501212778036	0.0205759405480725	0.000495432729524694	2.06430303968623e-05	0.00760695670124374	0.000190948031170976	1.54822727976467e-05	0	0.269272849254271	0.000469628941528616	0.0179955617484647	0.000170305000774114	0.0453991846002993	0.00114568818702586	0	0.000335449243949012	0.000258037879960778	0	0.00346286834907364	0.00315322289312071	0	0.0440315838365072	0.000350931516746658	0.000438664395933323	0.000949579398255664	0.00360736956185168	0	0.0115652577798421	0	0	0.00247200289002426	0.0215151984311297	0	0.00598647881509006	0	0.000304484698353718	8.77328791866646e-05	0.103834442896217	0.000242555607163132	0	3.09645455952934e-05	0.00148113743097487	0.00107859833823605	0.00156887031016153	2.06430303968623e-05	0.000165144243174898	2.06430303968623e-05	0	0.00113020591422821	0.00838107034112608	0.000108375909583527	8.2572121587449e-05	0.023796253289983	0.00643030396862259	0.00116633121742272	0.000423182123135676	0.00134179697579605	0.00643546472622181	0.00312225834752542	0	0.000252877122361563	3.09645455952934e-05	0.0648655622645404	0.00375703153222893	6.19290911905868e-05	6.19290911905868e-05	0.000412860607937245	0.00077927439748155	0.00765340351963668	0.00456727047530577	0.00434019714094029	0.0145584971873871	0.180017546575837	0	0.000165144243174898	0	0.00108375909583527	0.00254425349641327	0.0093151674665841	4.64468183929401e-05	6.19290911905868e-05	0.00346802910667286	0.000170305000774114	0.0164886205294937	6.70898487898023e-05	6.19290911905868e-05	1.03215151984311e-05	0.0174640037157455	0.0108014656551582	0	0.00625483821024926	0.000247716364762347	0.000263198637559994	0.000201269546369407	0.000980543943850957	0.00202817773649172	0.000928936367858802	0.000144501212778036	5.16075759921556e-06	0.000159983485575683	0.00202817773649172	0.000108375909583527	0.00227589410125406	0
np0006	0	0.00359417652411283	0	0.017515923566879	0.000818926296633303	4.54959053685168e-05	0.00218380345768881	0.00136487716105551	0.000727934485896269	0	0.501319381255687	0.00181983621474067	0.00464058234758872	0.000318471337579618	0.0321656050955414	0.000545950864422202	0	0	0.000454959053685168	0	0.00181983621474067	0.00295723384895359	0	0.0010919017288444	9.09918107370337e-05	0.00086442220200182	0.000909918107370337	0.00186533212010919	0	0.0383075523202912	0	0.0171064604185623	0.0115559599636033	0.0154686078252957	0	0.00241128298453139	0	0.00104640582347589	0.00122838944494995	0.0201091901728844	0.000454959053685168	0	0.00163785259326661	0	0.00127388535031847	0	0.000136487716105551	0.000272975432211101	4.54959053685168e-05	0	0	0.0100090991810737	0.0112829845313922	0	0.00400363967242948	0.0441765241128298	0.00159235668789809	0.0037761601455869	0.00363967242948135	0	0.000318471337579618	0	0	0.00241128298453139	0.0083712465878071	0.00509554140127389	0	0.000682438580527753	0.000227479526842584	4.54959053685168e-05	0.00664240218380346	0.0199272065514104	0.00859872611464968	0.00222929936305732	0.00122838944494995	0.00996360327570519	0	0.0170609645131938	0.000409463148316651	0.000909918107370337	0.0182893539581438	0	0	0.00828025477707006	0	0.0281164695177434	0.000181983621474067	0	0.000318471337579618	0.0347588717015469	0.0182438580527753	9.09918107370337e-05	0.00150136487716106	0.000136487716105551	0	0.00313921747042766	0.000727934485896269	0.00646041856232939	0.000727934485896269	0.000227479526842584	0.000181983621474067	0.00564149226569609	0.00113739763421292	9.09918107370337e-05	0.0209736123748863	0
np0008	0	0.00396802841918295	0.00387921847246892	0.0475701598579041	0.000184724689165186	0	0.00207815275310835	0.011101243339254	0.000298401420959147	0	0.153595026642984	0.000753108348134991	0.0820426287744227	0.000355239786856128	0.0328206039076377	0.000142095914742451	0.000191829484902309	4.97335701598579e-05	0.00975843694493783	0	0.000621669626998224	0.0121669626998224	0.00170159857904085	0.0343232682060391	0.00108703374777975	0.000539964476021314	0.00179751332149201	0.0186252220248668	0.00016696269982238	0.0258294849023091	0.000404973357015986	0	0.00759147424511545	0.0206785079928952	0.00202131438721137	0.00148490230905861	0.0127566607460036	0.000365896980461812	0.00113676731793961	0.0947460035523979	0	0.000113676731793961	3.55239786856128e-06	0	0.00385435168738899	0.00216696269982238	7.81527531083481e-05	2.4866785079929e-05	7.10479573712256e-06	0	0.0064866785079929	0.00710479573712256	0.00128952042628774	0.000316163410301954	0.0101065719360568	0.00459325044404973	0.000724689165186501	0.00147779751332149	0.000269982238010657	2.4866785079929e-05	0.000692717584369449	0	0.0138401420959147	0.000941385435168739	0.0156163410301954	0.00283126110124334	5.32859680284192e-05	0.000621669626998224	3.55239786856128e-05	0.000170515097690941	0.00289165186500888	0.0567637655417407	0.00393960923623446	0.00296625222024867	0.0509626998223801	0	0.00284191829484902	0.0468348134991119	0.00317229129662522	0.00677797513321492	0.0258472468916519	3.90763765541741e-05	6.74955595026643e-05	0.0202486678507993	0	0.00235523978685613	2.13143872113677e-05	0.000387211367673179	0.00016696269982238	0.0400071047957371	0.00325754884547069	0.000863232682060391	0.00993960923623446	0.000827708703374778	0	8.8809946714032e-05	0.0267246891651865	0.00373001776198934	0	0.000134991119005329	0	0.00468206039076377	0.00201420959147425	0.000426287744227353	0.0190692717584369	0.0016696269982238
np0009	0.0126833086679468	0.0095889238145326	6.11538508579885e-05	0.00121084624698817	0.00124753855750297	0	0.000110076931544379	0.000110076931544379	0.000171230782402368	0	0.206810092831546	0.000195692322745563	0.00491676960898228	3.66923105147931e-05	0.0288890791453138	0.000366923105147931	0	1.22307701715977e-05	0.000281307713946747	0	0	0.00141876933990533	0.00015900001223077	0.053448465649882	0.000330230794633138	9.78461613727816e-05	0.000611538508579885	0.0114602316507871	0	0.0190555399273492	3.66923105147931e-05	0.000122307701715977	0.00845146218857401	0.0143344626411125	0.000244615403431954	0.000220153863088759	0	4.89230806863908e-05	0.00303323100255623	0.0477244652095742	0	0.000293538484118345	0	0	0.0021526155502012	0	2.44615403431954e-05	0	0	0	0.00243392326414794	0.00810900062376928	0.00195692322745563	2.44615403431954e-05	0.00813346216411247	0.0803561600273969	0.000782769290982253	0	8.56153912011839e-05	0	0.000868384682183437	0	0.000122307701715977	0.00121084624698817	0.000758307750639058	0.00349800026907694	0	7.33846210295862e-05	1.22307701715977e-05	1.22307701715977e-05	0.000684923129609472	0.00165115397316569	0.00163892320299409	0.00561392350876335	0.262362250950942	0.00791330830102372	0.000134538471887575	0.0565673120436394	0.000110076931544379	0.00150438473110652	0.032105771700444	0	0	0.027849463680728	0	0.0136128472009882	0	4.89230806863908e-05	0	0.0220153863088759	0.00887953914457993	0	0.0032044617849586	0.000305769254289943	2.44615403431954e-05	2.44615403431954e-05	0.00616430816648524	0.00162669243282249	0	2.44615403431954e-05	0	0.00594415430339649	0.000403615415662724	0.000415846185834322	0.000770538520810655	0
np0011	0	0.00505938497972658	0	0.0045570346980516	0	0	0.101044170942624	0.000107646488930353	0	0	0.0979941870895978	0.000466468118698195	0.00154293300800172	0.000215292977860705	0.171444974703075	0	0	0.000107646488930353	0.291291399045534	0	0.000322939466791058	0.0163981484803904	0	0.00290645520111952	0	0.000143528651907137	0	0.0072840790842872	0	0.0347339337615271	0	7.17643259535685e-05	0.000861171911442822	0.0176899063475546	0	0	0.000717643259535685	0.000107646488930353	0	0.0245792816390972	0	0	0	0.00143528651907137	0.00161469733395529	0	3.58821629767842e-05	0.000322939466791058	0	0	3.58821629767842e-05	0.00107646488930353	0.000179410814883921	0.000215292977860705	0.00279880871218917	0.00897054074419606	0.000430585955721411	0	0.00107646488930353	0	0.000466468118698195	0	0.00111234705228031	0.00462879902400517	0.00326527683088737	0.00193763680074635	7.17643259535685e-05	0.000179410814883921	0	0	0.00398292009042305	0.0165416771322975	0.00143528651907137	0.00175822598586243	0.0894542323011231	0.00294233736409631	0	0	0	0.00265528006028203	0.0176181420216011	0	7.17643259535685e-05	0.0148193333094119	0	0.000681761096558901	0	0	0.0137787505830851	0.0111952348487567	0.000574114607628548	0	0.00107646488930353	0.000968818400373174	0.000143528651907137	0.000394703792744627	0.00355233413470164	0.00118411137823388	0	0.000358821629767842	0	0.00215292977860705	0.000574114607628548	0.000287057303814274	0.00229645843051419	0
np0012	0	0.001916871665442	0.0162295134340756	0.102616529823328	3.19478610907e-05	0	0.0013098623047187	0.0051755534966934	0	0	0.228698763617776	0.0025238810261653	0.00650138973195745	0.0007348008050861	0.0161017219897128	0.00030350468036165	0.00036740040254305	0.000718826874540749	0.00991981086866234	0	0.00017571323599885	0.0159100348231686	7.98696527267499e-05	0.0425545509728124	0.0016612887767164	0.00023960895818025	0.0007348008050861	0.0063576243570493	0.00014376537490815	0.0228427206798505	0.00126194051308265	0	0.00875371393885179	0.0173636625027954	3.19478610907e-05	0	0.00634165042650395	0.00023960895818025	0.0020127152487141	0.0535446151880132	0	0	3.19478610907e-05	0	0.0016612887767164	0.0019807673876234	0.0001597393054535	4.792179163605e-05	0.00014376537490815	0.0001597393054535	0.00142167981853615	0.00193284559598735	0.0025877767483467	0.0002875307498163	0.00384971726142935	0.00768346059231334	0.000686879013450049	0.00033545254145235	0	0	0.0005750614996326	0	0.0055589278297818	0.00062298329126865	0.0390402862528354	0.0040573783585189	0	0.00164531484617105	0.0003514264719977	0.000319478610907	0.0116769432286508	0.0212932494169515	0.0107344813264752	0.0060061978850516	0.0507651512731223	0	0.00317881217852465	0.0783521293249417	0.00190089773489665	0.015015494712629	0.0206862400562282	3.19478610907e-05	0.0003514264719977	0.01027123734066	0	0.0135299191719114	6.38957221814e-05	0.00020766109708955	0.0002236350276349	0.044774927318616	0.0155106865595348	0.0005111657774512	0.0064854158014121	0.00177310629053385	0	0.0003833743330884	0.0104948723682949	0.00755566914795054	0	0.00062298329126865	0.0001597393054535	0.0016932366378071	0.0005750614996326	0.00065493115235935	0.013785502060637	0.00218842848471295
