feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0001	-10.7153900596071	-3.9115524778717	-10.7153900596071	-4.77180965466936	-11.004896676802	-18.6943578872215	-9.31684068311679	-9.14507433485031	-13.1748216782444	-17.7605510341597	-1.27389199266588	-11.3003525603282	-9.18992857063457	-18.0467296909277	-4.10470073376754	-10.4743819601033	-12.7597841789655	-12.0593444608244	-5.12315955842187	-8.81726967362628	-11.0593444608244	-9.01831719256437	-18.6098135874551	-7.10873248778659	-9.45600343078841	-11.004896676802	-11.852893583357	-6.78824062501474	-13.1748216782444	-6.78824062501474	-12.1748216782444	-11.852893583357	-8.56011183412915	-4.63825066162549	-15.7597841789655	-12.9524292569079	-9.47438196010327	-8.7825042554656	-10.9524292569079	-4.14599471449294	-19.3486714905207	-11.9524292569079	-13.1748216782444	-10.3335194242634	-10.5898591775232	-12.1748216782444	-12.3003525603282	-13.1748216782444	-11.6723213377152	-10.6723213377152	-10.7153900596071	-7.78824062501474	-12.7597841789655	-12.7597841789655	-10.087358836994	-6.74855692354226	-11.004896676802	-9.69369498850774	-14.1748216782444	-12.5898591775232	-12.5898591775232	-13.1748216782444	-7.15615783397933	-11.9524292569079	-5.43785608407816	-10.5118566655219	-14.1748216782444	-11.7597841789655	-10.5898591775232	-12.5898591775232	-6.12134826497505	-7.68832181640889	-7.30857306713319	-5.84390480012974	-5.86042725604241	-20.1384468059394	-10.8055878685786	-6.69908824727796	-9.82904684140263	-5.66175209600499	-8.47438196010327	-14.1748216782444	-18.4443948315845	-5.36854058953807	-7.02507455873968	-5.25496519133268	-14.7597841789655	-13.7597841789655	-19.1611417266669	-5.72223722500334	-6.43110925163757	-12.5898591775232	-9.11592798919079	-9.41993417608089	-20.1384468059394	-10.3335194242634	-8.43785608407815	-9.49299763827062	-11.1748216782444	-11.9524292569079	-10.3674667561868	-10.087358836994	-10.4743819601033	-9.852893583357	-8.22062536785748	-20.7477062118068
np0002	-10.0899942386246	-5.91293070188109	-17.9648879574086	-3.45855730810397	-13.0899942386246	-18.6943578872215	-11.5754210657949	-18.0189119165308	-20.1966683970757	-17.7605510341597	-1.70474811097027	-6.32559651717868	-8.71744007066729	-10.9431528502954	-6.09644926076192	-12.5754210657949	-10.8973491606822	-18.5202426739746	-8.08356796946519	-14.3123866599611	-18.4354667979437	-8.63056261998733	-8.86392615914478	-7.5223097293353	-8.78882470390406	-9.99045856507371	-10.2249238187107	-7.40950912685918	-11.6494216472386	-5.78360699463304	-17.7361574621684	-9.40549606435255	-7.59356841250513	-6.3142663931793	-19.1439162732725	-12.3123866599611	-17.9865309296644	-12.5754210657949	-8.38955452048353	-6.50288646607191	-8.10293329433212	-11.5754210657949	-19.1027753967423	-18.2501596051323	-5.82454662613802	-18.6943578872215	-9.05185910973785	-11.5050317379035	-11.6494216472386	-17.9716558110873	-5.14246165851876	-6.90582731460653	-12.5754210657949	-12.0899942386246	-11.3123866599611	-6.18999002860135	-9.26799254060262	-8.58446620539787	-14.3123866599611	-12.3123866599611	-13.0899942386246	-17.846702404935	-12.3123866599611	-14.3123866599611	-11.4379175420449	-9.89734916068223	-8.11598944715757	-11.1424616585188	-11.1424616585188	-11.9904585650737	-3.93012290184624	-7.85843017138993	-10.5754210657949	-7.07398192063599	-5.43996828160969	-9.74760204117755	-10.8098863194319	-11.8973491606822	-10.1969094425411	-11.7274241592399	-6.4668966090167	-13.8973491606822	-18.4443948315845	-8.08356796946519	-18.6583509692635	-4.72367202437881	-14.3123866599611	-12.7274241592399	-19.1611417266669	-2.8289067446564	-3.78849804364208	-18.6925746392851	-9.99045856507371	-9.94315285029535	-13.0899942386246	-13.5754210657949	-13.8973491606822	-11.5754210657949	-18.7398201567927	-12.3123866599611	-19.6192062202956	-13.5754210657949	-10.8973491606822	-11.9904585650737	-5.83395407939372	-20.7477062118068
np0003	-11.7427655576762	-4.99457270808671	-8.44508500903549	-5.91410012937316	-10.86829643976	-8.71301821428212	-9.42083746278881	-9.35044813489741	-13.7427655576762	-17.7605510341597	-1.27924118440499	-9.93541063561857	-8.90146330369523	-14.3277280583973	-5.50754909598214	-10.8041661023403	-13.3277280583973	-9.54636834487267	-7.36194377373524	-7.99681118028271	-10.4208374627888	-8.04232583953508	-18.6098135874551	-6.15030852040809	-9.6838718686226	-11.00579996351	-12.157803056955	-7.62728834025624	-12.157803056955	-5.17798093889265	-11.86829643976	-11.00579996351	-7.79634659788102	-5.01031544463246	-19.1439162732725	-20.1384468059394	-11.3277280583973	-11.00579996351	-10.86829643976	-3.95431909816863	-19.3486714905207	-13.3277280583973	-13.00579996351	-10.6272883402562	-9.83587496206765	-10.3735317480105	-12.5203731363397	-12.5203731363397	-13.3277280583973	-11.7427655576762	-15.3277280583973	-8.10855953793517	-10.7427655576762	-12.3277280583973	-9.17798093889265	-6.62036892631645	-9.17798093889265	-10.8041661023403	-20.1384468059394	-20.2866931162071	-11.4208374627888	-13.7427655576762	-11.6272883402562	-11.5203731363397	-4.76167402022624	-9.57284055623386	-14.3277280583973	-10.6838718686226	-11.157803056955	-11.86829643976	-6.00129857127503	-5.41483872216737	-8.11827469276838	-5.60492052722778	-4.00017541431609	-20.1384468059394	-12.157803056955	-7.46974706326976	-11.240265217147	-4.76262598003701	-6.56617682595285	-15.3277280583973	-14.3277280583973	-7.21398589234814	-8.04232583953508	-5.86624861111117	-13.00579996351	-12.00579996351	-19.1611417266669	-5.50754909598214	-5.66416995418006	-13.7427655576762	-8.11827469276838	-9.71301821428212	-20.1384468059394	-8.64122753121411	-7.65530271642583	-8.32772805839733	-10.4208374627888	-10.86829643976	-13.00579996351	-8.02394731022023	-9.13790349951731	-10.3277280583973	-8.33904337162516	-20.7477062118068
np0004	-18.4462271471724	-7.31632215003932	-11.2232127456478	-5.60398034284194	-12.1162975417313	-18.6943578872215	-9.67572495034535	-11.4642208451516	-20.1966683970757	-17.7605510341597	-2.23190894461766	-10.7537274623466	-10.0167618681804	-11.9236524637889	-4.93496777701677	-17.5323711460796	-13.9236524637889	-10.3386899630678	-2.63622865210541	-21.5160539399953	-18.4354667979437	-6.58826210909501	-11.9236524637889	-7.30160064433256	-13.9236524637889	-12.6017243689016	-11.2232127456478	-9.60172436890157	-12.6017243689016	-6.42779743690176	-17.7361574621684	-11.6017243689016	-9.09076244962419	-6.30160064433256	-19.1439162732725	-11.3386899630678	-7.05328774420553	-18.3791414185299	-11.6017243689016	-4.06567146866136	-19.3486714905207	-18.9310914392741	-19.1027753967423	-8.63825024492669	-11.3386899630678	-18.6943578872215	-13.9236524637889	-11.2232127456478	-18.9648879574086	-17.9716558110873	-10.7537274623466	-8.58380246090431	-8.94637254028902	-12.3386899630678	-8.56610045917085	-6.00478922651434	-9.79436944684397	-10.8361896225386	-11.1162975417313	-11.3386899630678	-11.4642208451516	-17.846702404935	-9.60172436890157	-9.3690636121113	-7.14229275026428	-7.49738770908684	-18.4392911680949	-9.87925834443048	-11.9236524637889	-12.3386899630678	-6.48070896794021	-3.83420198267303	-8.12923659743883	-8.56610045917085	-2.54698440193127	-6.82562038082841	-17.7465733650379	-21.5160539399953	-13.3386899630678	-6.1098712725719	-5.16210123134446	-18.5482424388053	-18.4443948315845	-5.51002453476476	-18.6583509692635	-9.06567146866136	-18.6592085149264	-19.6192062202956	-12.9236524637889	-5.53779006314747	-8.44791903282254	-18.6925746392851	-8.12923659743883	-6.98113795844969	-14.9236524637889	-10.4000905077319	-6.41585782359024	-8.3844936526809	-18.7398201567927	-9.30894261967373	-19.6192062202956	-7.00478922651434	-10.9236524637889	-11.4642208451516	-7.34622363575319	-20.7477062118068
np0005	-10.0963801504139	-5.83904558203455	-12.7566307784393	-5.60289781049958	-10.9790231997758	-15.5639857004969	-7.03846489140184	-12.354532334868	-15.9790231997758	-17.7605510341597	-1.89285932446449	-11.0561910602982	-5.7962150517202	-12.5195915811385	-4.46118980379309	-9.7695698341468	-19.5160539399953	-11.5416178874685	-11.9201295107222	-21.5160539399953	-8.17381674429672	-8.30895713067818	-18.6098135874551	-4.50531745015634	-11.4765228592466	-11.1545947643592	-10.0404237444399	-8.11483705512147	-18.129283016945	-6.43405876698652	-17.7361574621684	-17.6240100514525	-8.66010385476073	-5.53850004368852	-19.1439162732725	-7.38407661048197	-17.9865309296644	-11.6813426511351	-13.4765228592466	-3.26764301580402	-12.0093968488193	-18.9310914392741	-14.9790231997758	-9.39907877382122	-9.85662656841603	-9.31605818705332	-15.5639857004969	-12.5639857004969	-15.5639857004969	-17.9716558110873	-9.78919864089574	-6.89864978331173	-13.1716682777181	-13.5639857004969	-5.39312175008498	-7.28089734747291	-9.74380673808172	-11.2064336958788	-9.54161788746845	-7.27973995066724	-8.32319436833495	-17.846702404935	-11.9492758563817	-14.9790231997758	-3.9464034486298	-8.05619106029821	-13.9790231997758	-13.9790231997758	-11.2420576056095	-10.3255809611718	-7.02968281804228	-7.77445205552655	-7.84802371024176	-6.10199474991134	-2.47379055986468	-20.1384468059394	-12.5639857004969	-21.5160539399953	-9.84974018283079	-8.618541864119	-6.74620257872238	-14.3940606990546	-13.9790231997758	-8.17166827771815	-12.5195915811385	-5.92238548466255	-13.8635459823558	-13.9790231997758	-16.5639857004969	-5.83947184737696	-6.5326291042412	-18.6925746392851	-7.32081171702396	-11.9790231997758	-11.8915603585254	-12.2785834816347	-9.99413009216596	-8.9456001982383	-10.0721326041672	-12.7566307784393	-17.5639857004969	-12.60978939011	-8.9456001982383	-13.1716682777181	-8.77935085493939	-20.7477062118068
np0006	-18.4462271471724	-8.12012301765949	-17.9648879574086	-5.83518913025433	-10.2539787643943	-14.4239037658366	-8.83894126511544	-9.51701317022808	-10.4239037658366	-17.7605510341597	-0.99619808438378	-9.10197567094923	-7.7514784238651	-11.616548843779	-4.9583373610272	-10.8389412651154	-19.5160539399953	-18.5202426739746	-11.1019756709492	-21.5160539399953	-9.10197567094923	-8.40153595280814	-18.6098135874551	-9.83894126511544	-13.4239037658366	-10.175976252393	-10.1019756709492	-9.06635176121851	-18.129283016945	-4.7062273427702	-17.7361574621684	-5.86931491415896	-6.43521907906443	-6.01451282969889	-19.1439162732725	-8.69598331127339	-17.9865309296644	-9.90034180977958	-9.66901626367313	-5.63600120644516	-11.1019756709492	-18.9310914392741	-9.25397876439428	-18.2501596051323	-9.61654884377899	-18.6943578872215	-12.8389412651154	-11.8389412651154	-14.4239037658366	-17.9716558110873	-18.4545081505113	-6.64254405231193	-6.46970745544972	-18.0315827535454	-7.9644721471993	-4.5005762804174	-9.29462074889163	-8.04886433448967	-8.10197567094923	-20.2866931162071	-11.616548843779	-17.846702404935	-18.4212348069659	-8.69598331127339	-6.90034180977958	-7.61654884377899	-18.4392911680949	-10.5170131702281	-12.1019756709492	-14.4239037658366	-7.23407920695658	-5.64911670623542	-6.86166134161552	-8.80919392172139	-9.66901626367313	-6.64911670623542	-17.7465733650379	-5.87315698045335	-11.2539787643943	-10.1019756709492	-5.77285207465767	-18.5482424388053	-18.4443948315845	-6.9161091256379	-18.6583509692635	-5.15244073793222	-12.4239037658366	-19.6192062202956	-11.616548843779	-4.84647493780084	-5.77644533938167	-13.4239037658366	-9.37950964647814	-12.8389412651154	-20.1384468059394	-8.31537930905843	-10.4239037658366	-7.27415664633191	-10.4239037658366	-12.1019756709492	-12.4239037658366	-7.46970745544972	-9.78004757606187	-13.4239037658366	-5.57528082540726	-20.7477062118068
np0008	-18.4462271471724	-7.977361926259	-8.01001825582246	-4.3937993163386	-12.4023356786012	-18.6943578872215	-8.91048258227155	-6.49313492230551	-11.7104579739636	-17.7605510341597	-2.7027965920683	-10.3748549421791	-3.60748247100592	-11.4589192069676	-4.92925440471535	-12.780847301855	-12.3478878945788	-14.2954204746847	-6.67913420166646	-21.5160539399953	-10.65156428491	-6.36088712400707	-9.19889355100614	-4.86466925931024	-9.84538755404967	-10.8548478832987	-9.11978182204801	-5.74659856622596	-12.5481865450647	-5.27483731659733	-11.2698853825776	-17.6240100514525	-7.04140420408251	-5.5957240944944	-8.95049055443573	-9.39541626466143	-6.29260545907766	-11.4162748695591	-9.78084730185495	-3.3997910990159	-19.3486714905207	-13.1027753967423	-18.1027753967423	-18.2501596051323	-8.01929606941047	-8.85010996429207	-13.643343778105	-15.2954204746847	-17.1027753967423	-17.9716558110873	-7.26830434675809	-7.13699111208023	-9.59894965874657	-11.6270419657759	-6.62856245954837	-7.76626883693206	-10.4303500547708	-9.40233567860122	-11.8548478832987	-15.2954204746847	-10.4954450829927	-17.846702404935	-6.17499743465997	-10.0529268472918	-6.00079972579309	-8.46433948275184	-14.1958848011338	-10.65156428491	-14.780847301855	-12.5178128960212	-8.43389041247607	-4.13888589304359	-7.98773174658061	-8.3971430093809	-4.29441448130953	-20.1384468059394	-8.45891920696759	-4.4162748695591	-8.30025903162109	-7.2049299407368	-5.27384556909083	-14.643343778105	-13.8548478832987	-5.62602919280285	-18.6583509692635	-8.72991033662973	-15.5178128960212	-11.3345910719654	-12.5481865450647	-4.64359996119029	-8.26199747314726	-10.1779628931365	-6.65259514957756	-10.238589252088	-20.1384468059394	-13.4589192069676	-5.2256830217149	-8.06660178418883	-18.7398201567927	-12.8548478832987	-19.6192062202956	-7.73864074173427	-8.95557047180009	-11.1958848011338	-5.71260644054213	-9.22625845017732
np0009	-6.30092504239114	-6.70441537708916	-13.997197126317	-9.68976860112476	-9.64669987923287	-18.6943578872215	-13.1492002197621	-13.1492002197621	-12.5117702991468	-17.7605510341597	-2.27362150051735	-12.3191252212044	-7.66807353002544	-14.7341627204832	-5.11333197180721	-11.4122346255958	-19.5160539399953	-16.3191252212044	-11.7955632651474	-21.5160539399953	-18.4354667979437	-9.46114422607679	-12.6186855030633	-4.2257076568164	-11.5642377190409	-13.3191252212044	-10.6752690314296	-6.44721998354518	-18.129283016945	-5.7136457031427	-14.7341627204832	-12.997197126317	-6.88658332081611	-6.12436836678212	-11.997197126317	-12.1492002197621	-17.9865309296644	-14.3191252212044	-8.36492891081749	-4.38912715859534	-19.3486714905207	-11.7341627204832	-19.1027753967423	-18.2501596051323	-8.85969360256707	-18.6943578872215	-15.3191252212044	-18.6943578872215	-18.9648879574086	-17.9716558110873	-8.68250060066072	-6.94626016109178	-8.997197126317	-15.3191252212044	-6.94191469081581	-3.63744756599467	-10.3191252212044	-17.9797712684366	-13.5117702991468	-20.2866931162071	-10.1693781016997	-17.846702404935	-12.997197126317	-9.68976860112476	-10.3649289108175	-8.15925388442598	-18.4392911680949	-13.7341627204832	-16.3191252212044	-16.3191252212044	-10.5117702991468	-9.24230962415353	-9.25303603074659	-7.47677487779056	-1.93036793698778	-6.98150331921186	-12.8596936025671	-4.14388757091333	-13.1492002197621	-9.37661071586512	-4.96102351376352	-18.5482424388053	-18.4443948315845	-5.16620664506774	-18.6583509692635	-6.19888734386241	-18.6592085149264	-14.3191252212044	-19.1611417266669	-5.50534402998733	-6.81529948320861	-18.6925746392851	-8.28570221966691	-11.6752690314296	-15.3191252212044	-15.3191252212044	-7.34184529770445	-9.26384278570318	-18.7398201567927	-15.3191252212044	-19.6192062202956	-7.39431271759858	-11.2747311018459	-11.231662379954	-10.3418452977044	-20.7477062118068
np0011	-18.4462271471724	-7.62682226350253	-17.9648879574086	-7.77768892912916	-17.7465733650379	-18.6943578872215	-3.30694199726403	-13.1814111151802	-20.1966683970757	-17.7605510341597	-3.35116001713604	-11.0659338977602	-9.34010886119922	-12.1814111151802	-2.54418247744499	-17.5323711460796	-19.5160539399953	-13.1814111151802	-1.77946499120363	-21.5160539399953	-11.596448614459	-5.93032326084325	-18.6098135874551	-8.4265236130167	-17.7690629926302	-12.7663736159013	-17.0009682812804	-7.10103769871615	-18.129283016945	-4.84751037862673	-17.7361574621684	-13.7663736159013	-10.1814111151802	-5.82092977952341	-19.1439162732725	-20.1384468059394	-10.444445521014	-13.1814111151802	-16.9520586807995	-5.34641343805343	-19.3486714905207	-18.9310914392741	-19.1027753967423	-9.44444552101396	-9.27452051957165	-18.6943578872215	-14.7663736159013	-11.596448614459	-18.9648879574086	-17.9716558110873	-14.7663736159013	-9.8594830202928	-12.444445521014	-12.1814111151802	-8.48097139703907	-6.80058933123924	-11.1814111151802	-17.9797712684366	-9.8594830202928	-20.2866931162071	-11.0659338977602	-17.846702404935	-9.81217730551445	-7.75514636047807	-8.25857897570263	-9.01148611373785	-13.7663736159013	-12.444445521014	-17.9066087917125	-18.3552564508737	-7.97195774955122	-5.91775067547198	-9.44444552101396	-9.15166377178612	-3.48270644840982	-8.40882161128324	-17.7465733650379	-21.5160539399953	-17.0733884685424	-8.55692025027237	-5.82679440158663	-18.5482424388053	-13.7663736159013	-6.07637564448188	-18.6583509692635	-10.5184461024577	-18.6592085149264	-19.6192062202956	-6.18141111518017	-6.48097139703907	-10.7663736159013	-18.6925746392851	-9.8594830202928	-10.0114861137379	-12.7663736159013	-11.306941997264	-8.13701699582171	-9.72197949654287	-18.7398201567927	-11.444445521014	-19.6192062202956	-8.8594830202928	-10.7663736159013	-11.7663736159013	-8.76637361590132	-20.7477062118068
np0012	-18.4462271471724	-9.02703053285586	-5.94523644169221	-3.28466495094706	-14.9339211284644	-18.6943578872215	-9.57636912384629	-7.59407112557975	-20.1966683970757	-17.7605510341597	-2.12847952855765	-8.63014038028727	-7.26503614419813	-10.4103591724074	-5.95664120496446	-11.6859936150208	-11.4103591724074	-10.4420680321347	-6.65547167024389	-21.5160539399953	-12.4744895098271	-5.9739191963963	-13.611993033577	-4.55454276139311	-9.23348141032328	-12.0270305328559	-10.4103591724074	-7.29729650792073	-12.7639961270221	-5.45212169679862	-9.63014038028727	-17.6240100514525	-6.83588904550385	-5.84778490343707	-14.9339211284644	-20.1384468059394	-7.30092593132142	-12.0270305328559	-8.95664120496446	-4.22311469476502	-19.3486714905207	-18.9310914392741	-14.9339211284644	-18.2501596051323	-9.23348141032328	-8.9797248180775	-12.611993033577	-14.3489586277432	-12.7639961270221	-12.611993033577	-9.45818769749798	-9.01505789118978	-8.59407112557975	-11.7639961270221	-8.02103179223441	-7.02402804469433	-10.5076563737623	-11.5416037056856	-20.1384468059394	-20.2866931162071	-10.7639961270221	-17.846702404935	-7.49097763261565	-10.6485189096021	-4.67889255864565	-7.94523644169221	-18.4392911680949	-9.24742060128116	-11.4744895098271	-11.611993033577	-6.42019353251194	-5.5534600633754	-6.54160370568562	-7.37933227678674	-4.30001771911586	-20.1384468059394	-8.29729650792073	-3.67388370735778	-9.03910336515643	-6.05740418189938	-5.59518474589046	-14.9339211284644	-11.4744895098271	-6.60524620113643	-18.6583509692635	-6.20770296913218	-13.9339211284644	-12.2334814103233	-12.1265662064068	-4.48116509943188	-6.01059364304518	-10.9339211284644	-7.2685852112792	-9.13950526211427	-20.1384468059394	-11.3489586277432	-6.57417156814205	-7.04822475512498	-18.7398201567927	-10.6485189096021	-12.611993033577	-9.20600067390118	-10.7639961270221	-10.5763691238463	-6.18070437928542	-8.83588904550385
