feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0002	0.000917506348816253	0.0165970344884083	0	0.0909642008683542	0.000114688293602032	0	0.000327680838862947	0	0	0	0.306774801343491	0.0124682559187352	0.00237568608175637	0.000507905300237569	0.0146145654132875	0.000163840419431474	0.000524289342180716	0	0.00368640943720816	4.91521258294421e-05	0	0.0025231424592447	0.00214630949455231	0.00543950192512493	0.00226099778815434	0.000983042516588842	0.000835586139100516	0.00588187105758991	0.0003112967969198	0.0181535184730073	0	0.00147456377488326	0.00517735725403457	0.012566560170394	0	0.000196608503317768	0	0.000163840419431474	0.00298189563365282	0.0110264602277382	0.00363725731137872	0.000327680838862947	0	0	0.0176456131727697	0	0.00188416482346195	0.000344064880806095	0.0003112967969198	0.0283116244777587	0.00833947734906201	0.000163840419431474	0.000229376587204063	0.000393217006635537	0.0136970590644712	0.00162202015237159	0.00260506266896043	4.91521258294421e-05	0.000196608503317768	0.000114688293602032	0	0.000196608503317768	4.91521258294421e-05	0.000360448922749242	0.00104857868436143	0.00360448922749242	0.000442369132464979	0.000442369132464979	0.000245760629147211	0.0656017039403621	0.00430900303104776	0.000655361677725895	0.00742197100024576	0.0230359629720652	0.00116326697796346	0.000557057426067011	0.000262144671090358	0.000851970181043663	0.000294912754976653	0.0113049889407717	6.55361677725895e-05	0	0.00368640943720816	0	0.0378471368886704	4.91521258294421e-05	0.000147456377488326	0	0.140738920291636	0.072368313262882	0	0.000983042516588842	0.00101581060047514	0.000114688293602032	8.19202097157369e-05	6.55361677725895e-05	0.000327680838862947	0	0.000196608503317768	0	8.19202097157369e-05	0.000524289342180716	0.000245760629147211	0.0175309248791677	0
np0004	0	0.00627433315100228	0.000418288876733486	0.0205605070948229	0.000225232472087261	0	0.00122269056275942	0.000353936741851411	0	0	0.212876862189903	0.000579169213938672	0.000965282023231121	0.000257408539528299	0.032690884520094	0	6.43521348820747e-05	0.000772225618584897	0.160848161137746	0	0	0.0103928697834551	0.000257408539528299	0.00633868528588436	6.43521348820747e-05	0.000160880337205187	0.000418288876733486	0.00128704269764149	0.000160880337205187	0.0116155603462145	0	0.000321760674410374	0.00183403584413913	0.0126773705717687	0	0.000386112809292448	0.00752919978120274	0	0.000321760674410374	0.0597187811705653	0	0	0	0.00250973326040091	0.000386112809292448	0	6.43521348820747e-05	0.000418288876733486	0	0.000579169213938672	0.00260626146272403	0.00202709224878535	0.000193056404646224	0.00263843753016506	0.0155732166414621	0.00112616236043631	0.000546993146497635	0.000450464944174523	0.000386112809292448	0.000353936741851411	0	0.00128704269764149	0.00151227516972876	0.00707873483702822	0.00553428359985843	0	0.00106181022555423	0.000257408539528299	0.000193056404646224	0.011197271469481	0.0701116509540204	0.00357154348595515	0.00263843753016506	0.171112326651437	0.00881624247884424	0	0	9.65282023231121e-05	0.0144792303484668	0.0279288265388204	0	0	0.0219440779947875	0	0.00186621191158017	0	0	0.000128704269764149	0.021525789118054	0.00286367000225232	0	0.00357154348595515	0.00791531259049519	3.21760674410374e-05	0.000740049551143859	0.0117120885485376	0.00299237427201647	0	0.00157662730461083	0	0.00778660832073104	0.000514817079056598	0.000353936741851411	0.00614562888123813	0
np0005	0.000913454095061155	0.0174691644733447	0.000144501212778036	0.0205759405480725	0.000495432729524694	2.06430303968623e-05	0.00760695670124374	0.000190948031170976	1.54822727976467e-05	0	0.269272849254271	0.000469628941528616	0.0179955617484647	0.000170305000774114	0.0453991846002993	0.00114568818702586	0	0.000335449243949012	0.000258037879960778	0	0.00346286834907364	0.00315322289312071	0	0.0440315838365072	0.000350931516746658	0.000438664395933323	0.000949579398255664	0.00360736956185168	0	0.0115652577798421	0	0	0.00247200289002426	0.0215151984311297	0	0.00598647881509006	0	0.000304484698353718	8.77328791866646e-05	0.103834442896217	0.000242555607163132	0	3.09645455952934e-05	0.00148113743097487	0.00107859833823605	0.00156887031016153	2.06430303968623e-05	0.000165144243174898	2.06430303968623e-05	0.00113020591422821	0.00838107034112608	0.000108375909583527	8.2572121587449e-05	0.023796253289983	0.00643030396862259	0.00116633121742272	0.000423182123135676	0.00134179697579605	0.00643546472622181	0.00312225834752542	0	0.000252877122361563	3.09645455952934e-05	0.0648655622645404	0.00375703153222893	6.19290911905868e-05	6.19290911905868e-05	0.000412860607937245	0.00077927439748155	0.00765340351963668	0.00456727047530577	0.00434019714094029	0.0145584971873871	0.180017546575837	0	0.000165144243174898	0	0.00108375909583527	0.00254425349641327	0.0093151674665841	4.64468183929401e-05	6.19290911905868e-05	0.00346802910667286	0.000170305000774114	0.0164886205294937	6.70898487898023e-05	6.19290911905868e-05	1.03215151984311e-05	0.0174640037157455	0.0108014656551582	0	0.00625483821024926	0.000247716364762347	0.000263198637559994	0.000201269546369407	0.000980543943850957	0.00202817773649172	0.000928936367858802	0.000144501212778036	5.16075759921556e-06	0.000159983485575683	0.00202817773649172	0.000108375909583527	0.00227589410125406	0
np0006	0	0.00359417652411283	0	0.017515923566879	0.000818926296633303	4.54959053685168e-05	0.00218380345768881	0.00136487716105551	0.000727934485896269	0	0.501319381255687	0.00181983621474067	0.00464058234758872	0.000318471337579618	0.0321656050955414	0.000545950864422202	0	0	0.000454959053685168	0	0.00181983621474067	0.00295723384895359	0	0.0010919017288444	9.09918107370337e-05	0.00086442220200182	0.000909918107370337	0.00186533212010919	0	0.0383075523202912	0	0.0171064604185623	0.0115559599636033	0.0154686078252957	0	0.00241128298453139	0	0.00104640582347589	0.00122838944494995	0.0201091901728844	0.000454959053685168	0	0.00163785259326661	0	0.00127388535031847	0	0.000136487716105551	0.000272975432211101	4.54959053685168e-05	0	0.0100090991810737	0.0112829845313922	0	0.00400363967242948	0.0441765241128298	0.00159235668789809	0.0037761601455869	0.00363967242948135	0	0.000318471337579618	0	0	0.00241128298453139	0.0083712465878071	0.00509554140127389	0	0.000682438580527753	0.000227479526842584	4.54959053685168e-05	0.00664240218380346	0.0199272065514104	0.00859872611464968	0.00222929936305732	0.00122838944494995	0.00996360327570519	0	0.0170609645131938	0.000409463148316651	0.000909918107370337	0.0182893539581438	0	0	0.00828025477707006	0	0.0281164695177434	0.000181983621474067	0	0.000318471337579618	0.0347588717015469	0.0182438580527753	9.09918107370337e-05	0.00150136487716106	0.000136487716105551	0	0.00313921747042766	0.000727934485896269	0.00646041856232939	0.000727934485896269	0.000227479526842584	0.000181983621474067	0.00564149226569609	0.00113739763421292	9.09918107370337e-05	0.0209736123748863	0
np0008	0	0.00396802841918295	0.00387921847246892	0.0475701598579041	0.000184724689165186	0	0.00207815275310835	0.011101243339254	0.000298401420959147	0	0.153595026642984	0.000753108348134991	0.0820426287744227	0.000355239786856128	0.0328206039076377	0.000142095914742451	0.000191829484902309	4.97335701598579e-05	0.00975843694493783	0	0.000621669626998224	0.0121669626998224	0.00170159857904085	0.0343232682060391	0.00108703374777975	0.000539964476021314	0.00179751332149201	0.0186252220248668	0.00016696269982238	0.0258294849023091	0.000404973357015986	0	0.00759147424511545	0.0206785079928952	0.00202131438721137	0.00148490230905861	0.0127566607460036	0.000365896980461812	0.00113676731793961	0.0947460035523979	0	0.000113676731793961	3.55239786856128e-06	0	0.00385435168738899	0.00216696269982238	7.81527531083481e-05	2.4866785079929e-05	7.10479573712256e-06	0.0064866785079929	0.00710479573712256	0.00128952042628774	0.000316163410301954	0.0101065719360568	0.00459325044404973	0.000724689165186501	0.00147779751332149	0.000269982238010657	2.4866785079929e-05	0.000692717584369449	0	0.0138401420959147	0.000941385435168739	0.0156163410301954	0.00283126110124334	5.32859680284192e-05	0.000621669626998224	3.55239786856128e-05	0.000170515097690941	0.00289165186500888	0.0567637655417407	0.00393960923623446	0.00296625222024867	0.0509626998223801	0	0.00284191829484902	0.0468348134991119	0.00317229129662522	0.00677797513321492	0.0258472468916519	3.90763765541741e-05	6.74955595026643e-05	0.0202486678507993	0	0.00235523978685613	2.13143872113677e-05	0.000387211367673179	0.00016696269982238	0.0400071047957371	0.00325754884547069	0.000863232682060391	0.00993960923623446	0.000827708703374778	0	8.8809946714032e-05	0.0267246891651865	0.00373001776198934	0	0.000134991119005329	0	0.00468206039076377	0.00201420959147425	0.000426287744227353	0.0190692717584369	0.0016696269982238
np0009	0.0126833086679468	0.0095889238145326	6.11538508579885e-05	0.00121084624698817	0.00124753855750297	0	0.000110076931544379	0.000110076931544379	0.000171230782402368	0	0.206810092831546	0.000195692322745563	0.00491676960898228	3.66923105147931e-05	0.0288890791453138	0.000366923105147931	0	1.22307701715977e-05	0.000281307713946747	0	0	0.00141876933990533	0.00015900001223077	0.053448465649882	0.000330230794633138	9.78461613727816e-05	0.000611538508579885	0.0114602316507871	0	0.0190555399273492	3.66923105147931e-05	0.000122307701715977	0.00845146218857401	0.0143344626411125	0.000244615403431954	0.000220153863088759	0	4.89230806863908e-05	0.00303323100255623	0.0477244652095742	0	0.000293538484118345	0	0	0.0021526155502012	0	2.44615403431954e-05	0	0	0.00243392326414794	0.00810900062376928	0.00195692322745563	2.44615403431954e-05	0.00813346216411247	0.0803561600273969	0.000782769290982253	0	8.56153912011839e-05	0	0.000868384682183437	0	0.000122307701715977	0.00121084624698817	0.000758307750639058	0.00349800026907694	0	7.33846210295862e-05	1.22307701715977e-05	1.22307701715977e-05	0.000684923129609472	0.00165115397316569	0.00163892320299409	0.00561392350876335	0.262362250950942	0.00791330830102372	0.000134538471887575	0.0565673120436394	0.000110076931544379	0.00150438473110652	0.032105771700444	0	0	0.027849463680728	0	0.0136128472009882	0	4.89230806863908e-05	0	0.0220153863088759	0.00887953914457993	0	0.0032044617849586	0.000305769254289943	2.44615403431954e-05	2.44615403431954e-05	0.00616430816648524	0.00162669243282249	0	2.44615403431954e-05	0	0.00594415430339649	0.000403615415662724	0.000415846185834322	0.000770538520810655	0
np0011	0	0.00505938497972658	0	0.0045570346980516	0	0	0.101044170942624	0.000107646488930353	0	0	0.0979941870895978	0.000466468118698195	0.00154293300800172	0.000215292977860705	0.171444974703075	0	0	0.000107646488930353	0.291291399045534	0	0.000322939466791058	0.0163981484803904	0	0.00290645520111952	0	0.000143528651907137	0	0.0072840790842872	0	0.0347339337615271	0	7.17643259535685e-05	0.000861171911442822	0.0176899063475546	0	0	0.000717643259535685	0.000107646488930353	0	0.0245792816390972	0	0	0	0.00143528651907137	0.00161469733395529	0	3.58821629767842e-05	0.000322939466791058	0	3.58821629767842e-05	0.00107646488930353	0.000179410814883921	0.000215292977860705	0.00279880871218917	0.00897054074419606	0.000430585955721411	0	0.00107646488930353	0	0.000466468118698195	0	0.00111234705228031	0.00462879902400517	0.00326527683088737	0.00193763680074635	7.17643259535685e-05	0.000179410814883921	0	0	0.00398292009042305	0.0165416771322975	0.00143528651907137	0.00175822598586243	0.0894542323011231	0.00294233736409631	0	0	0	0.00265528006028203	0.0176181420216011	0	7.17643259535685e-05	0.0148193333094119	0	0.000681761096558901	0	0	0.0137787505830851	0.0111952348487567	0.000574114607628548	0	0.00107646488930353	0.000968818400373174	0.000143528651907137	0.000394703792744627	0.00355233413470164	0.00118411137823388	0	0.000358821629767842	0	0.00215292977860705	0.000574114607628548	0.000287057303814274	0.00229645843051419	0
np0012	0	0.00191717791411043	0.0162321063394683	0.102632924335378	3.19529652351738e-05	0	0.00131007157464213	0.00517638036809816	0	0	0.228735301635992	0.00252428425357873	0.00650242842535787	0.000734918200408998	0.0161042944785276	0.000303553169734151	0.000367459100204499	0.000718941717791411	0.00992139570552147	0	0.000175741308793456	0.0159125766871166	7.98824130879346e-05	0.0425613496932515	0.00166155419222904	0.000239647239263804	0.000734918200408998	0.00635864008179959	0.000143788343558282	0.0228463701431493	0.00126214212678937	0	0.00875511247443763	0.017366436605317	3.19529652351738e-05	0	0.006342663599182	0.000239647239263804	0.00201303680981595	0.0535531697341513	0	0	3.19529652351738e-05	0	0.00166155419222904	0.00198108384458078	0.000159764826175869	4.79294478527607e-05	0.000143788343558282	0.00142190695296524	0.00193315439672802	0.00258819018404908	0.000287576687116564	0.00385033231083845	0.0076846881390593	0.000686988752556237	0.000335506134969325	0	0	0.000575153374233129	0	0.00555981595092025	0.00062308282208589	0.0390465235173824	0.00405802658486708	0	0.00164557770961145	0.000351482617586912	0.000319529652351738	0.011678808793456	0.0212966513292434	0.0107361963190184	0.00600715746421268	0.0507732617586912	0	0.0031793200408998	0.0783646472392638	0.00190120143149284	0.0150178936605317	0.0206895449897751	3.19529652351738e-05	0.000351482617586912	0.0102728783231084	0	0.0135320807770961	6.39059304703477e-05	0.00020769427402863	0.000223670756646217	0.0447820807770961	0.0155131646216769	0.000511247443762781	0.00648645194274029	0.00177338957055215	0	0.000383435582822086	0.0104965490797546	0.00755687627811861	0	0.00062308282208589	0.000159764826175869	0.00169350715746421	0.000575153374233129	0.000655035787321063	0.0137877044989775	0.00218877811860941
np0013	0.000500581031554483	0.0175203361044069	5.3633681952266e-05	0.0359703226959864	0.000375435773665862	5.3633681952266e-05	0.000143023151872709	0.000715115759363547	0	0	0.335478680611424	0.00795566282291946	0.00414767140430857	0.000876016805220345	0.0200947528381157	8.93894699204434e-05	0.000643604183427192	0	0.00101903995709305	0	0	0.00362921247877	0.00364709037275409	0.00566729239295611	0.000232412621793153	0.000572092607490838	0.000732993653347636	0.00530973451327434	0.000178778939840887	0.00888531331009207	8.93894699204434e-05	0.00359345669080182	0.0145883614910164	0.00870653437025118	0	0.00264592830964512	0	5.3633681952266e-05	0.00143023151872709	0.0184499865915795	0.00114418521498168	0.000107267363904532	0	0	0.00080450522928399	0	3.57557879681773e-05	0.000143023151872709	0.000125145257888621	0.00933226065969429	0.0141414141414141	7.15115759363547e-05	0	0.000572092607490838	0.085277554304103	0.00105479574506123	0.00530973451327434	5.3633681952266e-05	0	0.000196656833824975	0	0.00132296415482256	0.000160901045856798	0.00119781889693394	0.0018950567623134	0.00724054706355591	0.000643604183427192	0.000321802091713596	0.00148386520067936	0.00981496379726468	0.00053633681952266	0.000125145257888621	0.00475551979976759	0.0769285778135336	0.00974345222132833	0.000983284169124877	0	0.000482703137570394	0.000643604183427192	0.0628765531420399	8.93894699204434e-05	0	0.00271743988558148	0	0.0159113256458389	5.3633681952266e-05	7.15115759363547e-05	7.15115759363547e-05	0.105980155537678	0.0236703316349334	0	0.00404040404040404	0.000589970501474926	0.000339679985697685	0	0.00522034504335389	0.000572092607490838	0	7.15115759363547e-05	0	0.00795566282291946	0.00207383570215429	8.93894699204434e-05	0.0267810851881648	0.000125145257888621
np0014	7.92813934497713e-05	0.0257030277564158	0.000642179286943147	0.0196459292968533	0.000229916041004337	0.00283827388550181	0.00106237067222694	0.000515329057423513	0.000340909991834016	0.00011099395082968	0.448494842745356	0.000943448582052278	0.00118922090174657	0.00016649092624452	0.0216834611085124	0.00011099395082968	0.000142706508209588	0.000150634647554565	0.0112341734518326	0.00265592668056734	0.000515329057423513	0.00382929130362395	0	0.0258140217072455	0.00195825041820935	0.000443975803318719	0.000388478827903879	0.00109408322960684	0.000380550688558902	0.0172595593540152	0.00142706508209588	0.000554969754148399	0.00407506362331824	0.0186866244361111	0	3.96406967248856e-05	0.000975161139432187	0.000190275344279451	0.000158562786899543	0.0353991421753229	0	3.96406967248856e-05	4.75688360698628e-05	0.00122886159847145	0.00158562786899543	0.000665963704978079	0.000214059762314382	0.000103065811484703	3.17125573799085e-05	7.92813934497713e-06	0.00231501668873332	0.000919664164017347	0.000198203483624428	0.00490751825454084	0.0209699285674645	0.00057875417218333	0.000325053713144062	0	0	0.000261628598384245	0	0.000214059762314382	0.000158562786899543	0.0307691087978562	0.00304440550847122	0	0.000967233000087209	0.000206131622969405	0.000134778368864611	0.0135571182799109	0.0220243711003465	0.0019423941395194	0.00835625886960589	0.108084323690073	0	0.000594610450873285	0.00906186327130886	0.000602538590218262	0.0116464366977714	0.0115512990256317	0	4.75688360698628e-05	0.00729388819737896	0.00505022476275043	0.0155153686981202	3.96406967248856e-05	9.51376721397255e-05	3.96406967248856e-05	0.0202246834690367	0.0116940055338413	0.000126850229519634	0.00321089643471574	0.00236258552480318	7.92813934497713e-06	0.00102272997550205	0.0131131424765922	0.00169662181982511	0.000277484877074199	0.00068974812301301	5.54969754148399e-05	0.0032584652707856	0.00214059762314382	0.000642179286943147	0.00294926783633149	0
