feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0002	-10.0899942386246	-5.91293070188109	-17.9648879574086	-3.45855730810397	-13.0899942386246	-18.6943578872215	-11.5754210657949	-18.0189119165308	-19.1439162732725	-17.7604210873886	-1.70474811097027	-6.32559651717868	-8.71744007066729	-10.9431528502954	-6.09644926076192	-12.5754210657949	-10.8973491606822	-18.5202426739746	-8.08356796946519	-14.3123866599611	-18.4354667979437	-8.63056261998733	-8.86392615914478	-7.5223097293353	-8.78882470390406	-9.99045856507371	-10.2249238187107	-7.40950912685918	-11.6494216472386	-5.78360699463304	-17.7361574621684	-9.40549606435255	-7.59356841250513	-6.3142663931793	-19.1439162732725	-12.3123866599611	-17.9865309296644	-12.5754210657949	-8.38955452048353	-6.50288646607191	-8.10293329433212	-11.5754210657949	-19.1027753967423	-17.6755849574782	-5.82454662613802	-18.6943578872215	-9.05185910973785	-11.5050317379035	-11.6494216472386	-5.14246165851876	-6.90582731460653	-12.5754210657949	-12.0899942386246	-11.3123866599611	-6.18999002860135	-9.26799254060262	-8.58446620539787	-14.3123866599611	-12.3123866599611	-13.0899942386246	-17.846702404935	-12.3123866599611	-14.3123866599611	-11.4379175420449	-9.89734916068223	-8.11598944715757	-11.1424616585188	-11.1424616585188	-11.9904585650737	-3.93012290184624	-7.85843017138993	-10.5754210657949	-7.07398192063599	-5.43996828160969	-9.74760204117755	-10.8098863194319	-11.8973491606822	-10.1969094425411	-11.7274241592399	-6.4668966090167	-13.8973491606822	-18.1477514775078	-8.08356796946519	-18.6583509692635	-4.72367202437881	-14.3123866599611	-12.7274241592399	-19.1611220392346	-2.8289067446564	-3.78849804364208	-18.6924724781975	-9.99045856507371	-9.94315285029535	-13.0899942386246	-13.5754210657949	-13.8973491606822	-11.5754210657949	-18.7398201567927	-12.3123866599611	-19.6192062202956	-13.5754210657949	-10.8973491606822	-11.9904585650737	-5.83395407939372	-18.4668093519586
np0004	-18.4462271471724	-7.31632215003932	-11.2232127456478	-5.60398034284194	-12.1162975417313	-18.6943578872215	-9.67572495034535	-11.4642208451516	-19.1439162732725	-17.7604210873886	-2.23190894461766	-10.7537274623466	-10.0167618681804	-11.9236524637889	-4.93496777701677	-17.5323711460796	-13.9236524637889	-10.3386899630678	-2.63622865210541	-21.5160539399953	-18.4354667979437	-6.58826210909501	-11.9236524637889	-7.30160064433256	-13.9236524637889	-12.6017243689016	-11.2232127456478	-9.60172436890157	-12.6017243689016	-6.42779743690176	-17.7361574621684	-11.6017243689016	-9.09076244962419	-6.30160064433256	-19.1439162732725	-11.3386899630678	-7.05328774420553	-18.3791414185299	-11.6017243689016	-4.06567146866136	-17.431970894603	-18.9310914392741	-19.1027753967423	-8.63825024492669	-11.3386899630678	-18.6943578872215	-13.9236524637889	-11.2232127456478	-18.9648879574086	-10.7537274623466	-8.58380246090431	-8.94637254028902	-12.3386899630678	-8.56610045917085	-6.00478922651434	-9.79436944684397	-10.8361896225386	-11.1162975417313	-11.3386899630678	-11.4642208451516	-17.846702404935	-9.60172436890157	-9.3690636121113	-7.14229275026428	-7.49738770908684	-18.4392911680949	-9.87925834443048	-11.9236524637889	-12.3386899630678	-6.48070896794021	-3.83420198267303	-8.12923659743883	-8.56610045917085	-2.54698440193127	-6.82562038082841	-17.687608057609	-21.5160539399953	-13.3386899630678	-6.1098712725719	-5.16210123134446	-18.5482424388053	-18.1477514775078	-5.51002453476476	-18.6583509692635	-9.06567146866136	-18.6592085149264	-19.6192062202956	-12.9236524637889	-5.53779006314747	-8.44791903282254	-18.6924724781975	-8.12923659743883	-6.98113795844969	-14.9236524637889	-10.4000905077319	-6.41585782359024	-8.3844936526809	-18.7398201567927	-9.30894261967373	-19.6192062202956	-7.00478922651434	-10.9236524637889	-11.4642208451516	-7.34622363575319	-18.4668093519586
np0005	-10.0963801504139	-5.83904558203455	-12.7566307784393	-5.60289781049958	-10.9790231997758	-15.5639857004969	-7.03846489140184	-12.354532334868	-15.9790231997758	-17.7604210873886	-1.89285932446449	-11.0561910602982	-5.7962150517202	-12.5195915811385	-4.46118980379309	-9.7695698341468	-19.5160539399953	-11.5416178874685	-11.9201295107222	-21.5160539399953	-8.17381674429672	-8.30895713067818	-18.6095178401463	-4.50531745015634	-11.4765228592466	-11.1545947643592	-10.0404237444399	-8.11483705512147	-18.129283016945	-6.43405876698652	-17.7361574621684	-17.6240100514525	-8.66010385476073	-5.53850004368852	-19.1439162732725	-7.38407661048197	-17.9865309296644	-11.6813426511351	-13.4765228592466	-3.26764301580402	-12.0093968488193	-18.9310914392741	-14.9790231997758	-9.39907877382122	-9.85662656841603	-9.31605818705332	-15.5639857004969	-12.5639857004969	-15.5639857004969	-9.78919864089574	-6.89864978331173	-13.1716682777181	-13.5639857004969	-5.39312175008498	-7.28089734747291	-9.74380673808172	-11.2064336958788	-9.54161788746845	-7.27973995066724	-8.32319436833495	-17.846702404935	-11.9492758563817	-14.9790231997758	-3.9464034486298	-8.05619106029821	-13.9790231997758	-13.9790231997758	-11.2420576056095	-10.3255809611718	-7.02968281804228	-7.77445205552655	-7.84802371024176	-6.10199474991134	-2.47379055986468	-18.6592085149264	-12.5639857004969	-21.5160539399953	-9.84974018283079	-8.618541864119	-6.74620257872238	-14.3940606990546	-13.9790231997758	-8.17166827771815	-12.5195915811385	-5.92238548466255	-13.8635459823558	-13.9790231997758	-16.5639857004969	-5.83947184737696	-6.5326291042412	-18.6924724781975	-7.32081171702396	-11.9790231997758	-11.8915603585254	-12.2785834816347	-9.99413009216596	-8.9456001982383	-10.0721326041672	-12.7566307784393	-17.5639857004969	-12.60978939011	-8.9456001982383	-13.1716682777181	-8.77935085493939	-18.4668093519586
np0006	-18.4462271471724	-8.12012301765949	-17.9648879574086	-5.83518913025433	-10.2539787643943	-14.4239037658366	-8.83894126511544	-9.51701317022808	-10.4239037658366	-17.7604210873886	-0.99619808438378	-9.10197567094923	-7.7514784238651	-11.616548843779	-4.9583373610272	-10.8389412651154	-19.5160539399953	-18.5202426739746	-11.1019756709492	-21.5160539399953	-9.10197567094923	-8.40153595280814	-18.6095178401463	-9.83894126511544	-13.4239037658366	-10.175976252393	-10.1019756709492	-9.06635176121851	-18.129283016945	-4.7062273427702	-17.7361574621684	-5.86931491415896	-6.43521907906443	-6.01451282969889	-19.1439162732725	-8.69598331127339	-17.9865309296644	-9.90034180977958	-9.66901626367313	-5.63600120644516	-11.1019756709492	-18.9310914392741	-9.25397876439428	-17.6755849574782	-9.61654884377899	-18.6943578872215	-12.8389412651154	-11.8389412651154	-14.4239037658366	-18.4544358573167	-6.64254405231193	-6.46970745544972	-18.0315827535454	-7.9644721471993	-4.5005762804174	-9.29462074889163	-8.04886433448967	-8.10197567094923	-19.1611220392346	-11.616548843779	-17.846702404935	-18.4212348069659	-8.69598331127339	-6.90034180977958	-7.61654884377899	-18.4392911680949	-10.5170131702281	-12.1019756709492	-14.4239037658366	-7.23407920695658	-5.64911670623542	-6.86166134161552	-8.80919392172139	-9.66901626367313	-6.64911670623542	-17.687608057609	-5.87315698045335	-11.2539787643943	-10.1019756709492	-5.77285207465767	-18.5482424388053	-18.1477514775078	-6.9161091256379	-18.6583509692635	-5.15244073793222	-12.4239037658366	-19.6192062202956	-11.616548843779	-4.84647493780084	-5.77644533938167	-13.4239037658366	-9.37950964647814	-12.8389412651154	-19.0272850912691	-8.31537930905843	-10.4239037658366	-7.27415664633191	-10.4239037658366	-12.1019756709492	-12.4239037658366	-7.46970745544972	-9.78004757606187	-13.4239037658366	-5.57528082540726	-18.4668093519586
np0008	-18.4462271471724	-7.977361926259	-8.01001825582246	-4.3937993163386	-12.4023356786012	-18.6943578872215	-8.91048258227155	-6.49313492230551	-11.7104579739636	-17.7604210873886	-2.7027965920683	-10.3748549421791	-3.60748247100592	-11.4589192069676	-4.92925440471535	-12.780847301855	-12.3478878945788	-14.2954204746847	-6.67913420166646	-21.5160539399953	-10.65156428491	-6.36088712400707	-9.19889355100614	-4.86466925931024	-9.84538755404967	-10.8548478832987	-9.11978182204801	-5.74659856622596	-12.5481865450647	-5.27483731659733	-11.2698853825776	-17.6240100514525	-7.04140420408251	-5.5957240944944	-8.95049055443573	-9.39541626466143	-6.29260545907766	-11.4162748695591	-9.78084730185495	-3.3997910990159	-17.431970894603	-13.1027753967423	-18.1027753967423	-17.6755849574782	-8.01929606941047	-8.85010996429207	-13.643343778105	-15.2954204746847	-17.1027753967423	-7.26830434675809	-7.13699111208023	-9.59894965874657	-11.6270419657759	-6.62856245954837	-7.76626883693206	-10.4303500547708	-9.40233567860122	-11.8548478832987	-15.2954204746847	-10.4954450829927	-17.846702404935	-6.17499743465997	-10.0529268472918	-6.00079972579309	-8.46433948275184	-14.1958848011338	-10.65156428491	-14.780847301855	-12.5178128960212	-8.43389041247607	-4.13888589304359	-7.98773174658061	-8.3971430093809	-4.29441448130953	-18.6592085149264	-8.45891920696759	-4.4162748695591	-8.30025903162109	-7.2049299407368	-5.27384556909083	-14.643343778105	-13.8548478832987	-5.62602919280285	-18.6583509692635	-8.72991033662973	-15.5178128960212	-11.3345910719654	-12.5481865450647	-4.64359996119029	-8.26199747314726	-10.1779628931365	-6.65259514957756	-10.238589252088	-19.0272850912691	-13.4589192069676	-5.2256830217149	-8.06660178418883	-18.7398201567927	-12.8548478832987	-19.6192062202956	-7.73864074173427	-8.95557047180009	-11.1958848011338	-5.71260644054213	-9.22625845017732
np0009	-6.30092504239114	-6.70441537708916	-13.997197126317	-9.68976860112476	-9.64669987923287	-18.6943578872215	-13.1492002197621	-13.1492002197621	-12.5117702991468	-17.7604210873886	-2.27362150051735	-12.3191252212044	-7.66807353002544	-14.7341627204832	-5.11333197180721	-11.4122346255958	-19.5160539399953	-16.3191252212044	-11.7955632651474	-21.5160539399953	-18.4354667979437	-9.46114422607679	-12.6186855030633	-4.2257076568164	-11.5642377190409	-13.3191252212044	-10.6752690314296	-6.44721998354518	-18.129283016945	-5.7136457031427	-14.7341627204832	-12.997197126317	-6.88658332081611	-6.12436836678212	-11.997197126317	-12.1492002197621	-17.9865309296644	-14.3191252212044	-8.36492891081749	-4.38912715859534	-17.431970894603	-11.7341627204832	-19.1027753967423	-17.6755849574782	-8.85969360256707	-18.6943578872215	-15.3191252212044	-18.6943578872215	-18.9648879574086	-8.68250060066072	-6.94626016109178	-8.997197126317	-15.3191252212044	-6.94191469081581	-3.63744756599467	-10.3191252212044	-17.9797712684366	-13.5117702991468	-19.1611220392346	-10.1693781016997	-17.846702404935	-12.997197126317	-9.68976860112476	-10.3649289108175	-8.15925388442598	-18.4392911680949	-13.7341627204832	-16.3191252212044	-16.3191252212044	-10.5117702991468	-9.24230962415353	-9.25303603074659	-7.47677487779056	-1.93036793698778	-6.98150331921186	-12.8596936025671	-4.14388757091333	-13.1492002197621	-9.37661071586512	-4.96102351376352	-18.5482424388053	-18.1477514775078	-5.16620664506774	-18.6583509692635	-6.19888734386241	-18.6592085149264	-14.3191252212044	-19.1611220392346	-5.50534402998733	-6.81529948320861	-18.6924724781975	-8.28570221966691	-11.6752690314296	-15.3191252212044	-15.3191252212044	-7.34184529770445	-9.26384278570318	-18.7398201567927	-15.3191252212044	-19.6192062202956	-7.39431271759858	-11.2747311018459	-11.231662379954	-10.3418452977044	-18.4668093519586
np0011	-18.4462271471724	-7.62682226350253	-17.9648879574086	-7.77768892912916	-17.4392911680949	-18.6943578872215	-3.30694199726403	-13.1814111151802	-19.1439162732725	-17.7604210873886	-3.35116001713604	-11.0659338977602	-9.34010886119922	-12.1814111151802	-2.54418247744499	-17.5323711460796	-19.5160539399953	-13.1814111151802	-1.77946499120363	-21.5160539399953	-11.596448614459	-5.93032326084325	-18.6095178401463	-8.4265236130167	-17.6943578872215	-12.7663736159013	-17.0009682812804	-7.10103769871615	-18.129283016945	-4.84751037862673	-17.7361574621684	-13.7663736159013	-10.1814111151802	-5.82092977952341	-19.1439162732725	-17.8543286673737	-10.444445521014	-13.1814111151802	-16.8252817996473	-5.34641343805343	-17.431970894603	-18.9310914392741	-19.1027753967423	-9.44444552101396	-9.27452051957165	-18.6943578872215	-14.7663736159013	-11.596448614459	-18.9648879574086	-14.7663736159013	-9.8594830202928	-12.444445521014	-12.1814111151802	-8.48097139703907	-6.80058933123924	-11.1814111151802	-17.9797712684366	-9.8594830202928	-19.1611220392346	-11.0659338977602	-17.846702404935	-9.81217730551445	-7.75514636047807	-8.25857897570263	-9.01148611373785	-13.7663736159013	-12.444445521014	-17.7069141533982	-18.3552564508737	-7.97195774955122	-5.91775067547198	-9.44444552101396	-9.15166377178612	-3.48270644840982	-8.40882161128324	-17.687608057609	-21.5160539399953	-17.0733884685424	-8.55692025027237	-5.82679440158663	-18.5482424388053	-13.7663736159013	-6.07637564448188	-18.6583509692635	-10.5184461024577	-18.6592085149264	-19.6192062202956	-6.18141111518017	-6.48097139703907	-10.7663736159013	-18.6924724781975	-9.8594830202928	-10.0114861137379	-12.7663736159013	-11.306941997264	-8.13701699582171	-9.72197949654287	-18.7398201567927	-11.444445521014	-19.6192062202956	-8.8594830202928	-10.7663736159013	-11.7663736159013	-8.76637361590132	-18.4668093519586
np0012	-18.4462271471724	-9.02680005934372	-5.94500596818007	-3.28443447743492	-14.9336906549522	-18.6943578872215	-9.57613865033415	-7.59384065206761	-19.1439162732725	-17.7604210873886	-2.12824905504551	-8.62990990677513	-7.26480567068599	-10.4101286988952	-5.95641073145232	-11.6857631415086	-11.4101286988952	-10.4418375586226	-6.65524119673175	-21.5160539399953	-12.4742590363149	-5.97368872288415	-13.6117625600649	-4.55431228788097	-9.23325093681114	-12.0268000593437	-10.4101286988952	-7.29706603440858	-12.7637656535099	-5.45189122328648	-9.62990990677513	-17.6240100514525	-6.83565857199171	-5.84755442992492	-14.9336906549522	-17.8543286673737	-7.30069545780928	-12.0268000593437	-8.95641073145232	-4.22288422125288	-17.431970894603	-18.9310914392741	-14.9336906549522	-17.6755849574782	-9.23325093681114	-8.97949434456536	-12.6117625600649	-14.3487281542311	-12.7637656535099	-9.45795722398584	-9.01482741767764	-8.59384065206761	-11.7637656535099	-8.02080131872227	-7.02379757118219	-10.5074259002501	-11.5413732321735	-18.4544358573167	-19.1611220392346	-10.7637656535099	-17.846702404935	-7.49074715910351	-10.64828843609	-4.6786620851335	-7.94500596818007	-18.4392911680949	-9.24719012776901	-11.4742590363149	-11.6117625600649	-6.4199630589998	-5.55322958986326	-6.54137323217347	-7.3791018032746	-4.29978724560371	-18.6592085149264	-8.29706603440859	-3.67365323384563	-9.03887289164429	-6.05717370838723	-5.59495427237832	-14.9336906549522	-11.4742590363149	-6.60501572762429	-18.6583509692635	-6.20747249562003	-13.9336906549522	-12.2332509368111	-12.1263357328946	-4.48093462591974	-6.01036316953304	-10.9336906549522	-7.26835473776706	-9.13927478860213	-19.0272850912691	-11.3487281542311	-6.5739410946299	-7.04799428161284	-18.7398201567927	-10.64828843609	-12.6117625600649	-9.20577020038903	-10.7637656535099	-10.5761386503341	-6.18047390577328	-8.83565857199171
np0013	-10.9641087553246	-5.83482573837959	-14.186501176661	-4.79704908757663	-11.3791462546034	-14.186501176661	-12.7714636773822	-10.4495355824948	-19.1439162732725	-17.7604210873886	-1.57570700760782	-6.9738021515284	-7.91348268225459	-10.156753833267	-5.63703735716123	-13.4495355824948	-10.6015386759398	-18.5202426739746	-9.93857366321742	-21.5160539399953	-18.4354667979437	-8.10612776019698	-8.09903833541066	-7.46312464724275	-12.0710239592411	-10.7714636773822	-10.4139116727641	-7.55714455658139	-12.4495355824948	-6.81436163581987	-13.4495355824948	-8.12041198620323	-6.09903833541066	-6.84368571529982	-19.1439162732725	-8.56201031175321	-17.9865309296644	-14.186501176661	-9.4495355824948	-5.76023642195891	-9.77146367738216	-13.186501176661	-19.1027753967423	-17.6755849574782	-10.2796105810525	-18.6943578872215	-14.7714636773822	-12.7714636773822	-12.9641087553246	-6.74355768081228	-6.14392979290937	-13.7714636773822	-18.0315827535454	-10.7714636773822	-3.55169012648929	-9.88882062802032	-7.55714455658139	-14.186501176661	-19.1611220392346	-12.3120320587449	-17.846702404935	-9.56201031175321	-12.6015386759398	-9.70537448692439	-9.04354322281896	-7.10968557961017	-10.6015386759398	-11.6015386759398	-9.39642424603523	-6.67080133837696	-10.8645730817736	-12.9641087553246	-7.71618124188097	-3.70033655243385	-6.68135125771787	-9.9901039638575	-21.5160539399953	-11.0165761752187	-10.6015386759398	-3.99133405775685	-13.4495355824948	-18.1477514775078	-8.52353616393857	-18.6583509692635	-5.9738021515284	-14.186501176661	-13.7714636773822	-13.7714636773822	-3.23813394507633	-5.40077627057494	-18.6924724781975	-7.95128471496697	-10.7270695580237	-11.5235361639386	-18.4819570601872	-7.58163911850214	-10.7714636773822	-18.7398201567927	-13.7714636773822	-19.6192062202956	-6.9738021515284	-8.91348268225459	-13.4495355824948	-5.22264176892341	-12.9641087553246
np0014	-13.6226581548815	-5.28191787425135	-10.6047362468843	-5.66962577762829	-12.0866052546413	-8.46077047250464	-9.87849705931112	-10.9222184367404	-11.5183214950668	-13.1372313277113	-1.15683669923776	-10.049768486461	-9.71576755927302	-12.5522688269901	-5.52726113208898	-13.1372313277113	-12.7746612483266	-12.6966587363253	-6.47596220685088	-8.55656896442376	-10.9222184367404	-8.02870687093312	-18.6095178401463	-5.27570126550265	-8.99621901818422	-11.1372313277113	-11.3298764056537	-9.83606179299073	-11.3596237490477	-5.85646055758069	-9.45273315343922	-10.8153032328239	-7.93896170057502	-5.74185020651873	-19.1439162732725	-14.6226581548815	-10.0020717444297	-12.3596237490477	-12.6226581548815	-4.82014178976031	-17.431970894603	-14.6226581548815	-14.3596237490477	-9.66846184449466	-9.30073005999417	-10.5522688269901	-12.1896987476054	-13.2441465316278	-14.9445862497689	-16.9445862497689	-8.75476169088888	-10.0866052546413	-12.3007300599942	-7.67079065055463	-5.57553424276751	-10.7547616908889	-11.5870342451508	-18.4544358573167	-19.1611220392346	-11.9001921304104	-17.846702404935	-12.1896987476054	-12.6226581548815	-5.02237353198345	-8.35962374904774	-18.4392911680949	-10.013848912206	-12.2441465316278	-12.8571234085186	-6.20480563999564	-5.5047553657875	-9.00794831076633	-6.90292709813168	-3.20977080192219	-18.6592085149264	-10.715767559273	-6.78597656155442	-10.6966587363253	-6.42396756921262	-6.43580108770438	-18.5482424388053	-14.3596237490477	-7.09909619882452	-7.6294366875126	-6.01015820914209	-14.6226581548815	-13.3596237490477	-14.6226581548815	-5.62773906616642	-6.41808701063233	-12.9445862497689	-8.28280815199691	-8.72541772930673	-16.9445862497689	-9.93335899434564	-6.25284273059762	-9.20311926336775	-11.8153032328239	-10.5016427539202	-14.1372313277113	-8.26159166608721	-8.86777065271806	-10.6047362468843	-8.40542743866087	-18.4668093519586
