feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Alistipes	Time_c	Time_c	-0.0481169969489875	0.00164156012043552	500	499	6.28515855852086e-99	6.5994164864469e-97
Roseburia	Time_c	Time_c	-0.0734267772412418	0.00321158705818326	500	476	5.14869360600215e-73	2.70306414315113e-71
Butyrivibrio	Time_c	Time_c	-0.0783115028750879	0.00368909929379562	500	262	3.41195190445614e-66	1.19418316655965e-64
Lactobacillus	Time_c	Time_c	0.0903023811002131	0.0043070732654232	500	387	4.27037952630859e-65	1.12097462565601e-63
Parabacteroides	Time_c	Time_c	-0.0401374956580153	0.00192736849568157	500	497	1.66850884424805e-64	3.50386857292091e-63
Odoribacter	Time_c	Time_c	-0.0634014451136449	0.00312868636634032	500	437	3.7767107389069e-62	6.60924379308708e-61
CAG.352	Time_c	Time_c	-0.0463322825887397	0.00244046920222599	500	457	9.18057512250546e-57	1.37708626837582e-55
Barnesiella	Time_c	Time_c	-0.046210755232246	0.00249761089760352	500	469	9.90556683100109e-55	1.30010564656889e-53
Bacteroides	Time_c	Time_c	-0.0275797723216603	0.00149330045540401	500	500	1.36342906236982e-54	1.59066723943146e-53
Akkermansia	Time_c	Time_c	-0.0618506426958968	0.00336925902314407	500	409	4.02113031627552e-54	4.22218683208929e-53
X.Ruminococcus._torques_group	Time_c	Time_c	-0.0480016870903363	0.00290745018215408	500	441	2.19923720910396e-46	2.09927188141741e-45
Coprobacter	Time_c	Time_c	-0.050512504912674	0.00314745299597011	500	274	1.81012669424413e-44	1.58386085746361e-43
Enterococcus	Time_c	Time_c	0.0584334707103701	0.00372048226550237	500	391	4.73415407370073e-43	3.82373982875828e-42
X.Eubacterium._siraeum_group	Time_c	Time_c	-0.0493977004067619	0.00334518882850318	500	398	3.34976076885153e-39	2.51232057663865e-38
Anaeroplasma	Time_c	Time_c	-0.0597873930029818	0.00409822152470241	500	144	1.77394318531479e-38	1.24176022972035e-37
Ruminococcus	Time_c	Time_c	-0.0310823312249213	0.00224586750356863	500	492	1.83853954646691e-35	1.20654157736891e-34
X.Eubacterium._coprostanoligenes_group	Time_c	Time_c	-0.0484642843615337	0.00368851146072422	500	402	1.09612094757801e-32	6.77015879386415e-32
Sutterella	Time_c	Time_c	-0.0277698633497419	0.00212371147219164	500	484	1.93912979072859e-32	1.13115904459168e-31
Butyricimonas	Time_c	Time_c	-0.0549203201576337	0.00427990296197365	500	219	1.73997582430903e-31	9.61565587118149e-31
Citrobacter	Time_c	Time_c	0.0600381373222357	0.00479284627937959	500	292	2.65664888697627e-30	1.39474066566254e-29
Bilophila	Time_c	Time_c	-0.0396369396362442	0.00341783129078971	500	352	8.96571196439656e-27	4.27908980118927e-26
Klebsiella	Time_c	Time_c	0.0438100623167995	0.00377716339439691	500	372	8.84595366759604e-27	4.27908980118927e-26
Defluviitaleaceae_UCG.011	Time_c	Time_c	-0.0340207919351969	0.00301208140764551	500	256	1.18533840646222e-25	5.27644251776397e-25
Paraprevotella	Time_c	Time_c	-0.0344844553674092	0.00305368424132285	500	456	1.20604400406034e-25	5.27644251776397e-25
Weissella	Time_c	Time_c	0.0436094972583157	0.00397231128929907	500	195	1.70652558805828e-24	7.16740746984479e-24
X.Eubacterium._eligens_group	Time_c	Time_c	-0.0313922768340319	0.00292925351468602	500	486	1.50372998198898e-23	5.84783881884602e-23
X.Eubacterium._ventriosum_group	Time_c	Time_c	-0.0409717805658378	0.00382156676384931	500	172	1.45021689557928e-23	5.84783881884602e-23
Lachnoclostridium	Time_c	Time_c	0.0147204552930675	0.00145773011321173	500	500	2.31524865245025e-21	8.68218244668843e-21
X.Eubacterium._ruminantium_group	Time_c	Time_c	-0.0420864536828535	0.00426048958235551	500	220	1.33332509900857e-20	4.82755639296207e-20
Erysipelatoclostridiaceae	Time_c	Time_c	-0.0327973392897791	0.00336808730840374	500	304	4.03889624201593e-20	1.41361368470558e-19
X.Eubacterium._xylanophilum_group	Time_c	Time_c	-0.0469662415415247	0.0049133363696911	500	417	1.63019872688989e-19	5.52164084914316e-19
Lachnospira	Time_c	Time_c	-0.0297018773328734	0.00314376288903441	500	466	3.84966997292798e-19	1.26317295986699e-18
Erysipelotrichaceae_UCG.003	Time_c	Time_c	-0.0358070801874334	0.00383123341433454	500	381	8.41684514685333e-19	2.67808709218061e-18
Phascolarctobacterium	Time_c	Time_c	-0.0138914036977284	0.00164261086641337	500	492	6.24528817860806e-16	1.92869193751131e-15
Christensenellaceae_R.7_group	Time_c	Time_c	-0.0188008916587676	0.00223100159573652	500	489	7.7367546331434e-16	2.32102638994302e-15
Lachnospiraceae_FCS020_group	Time_c	Time_c	-0.0281863800249518	0.00338822500883805	500	393	1.67661458902572e-15	4.89012588465834e-15
Fournierella	Time_c	Time_c	-0.0195183701820809	0.00239197978603783	500	287	5.16221112426323e-15	1.46495180553416e-14
UCG.010	Time_c	Time_c	-0.0244438402594388	0.00303336598908816	500	433	1.05103204656842e-14	2.90416749709696e-14
Lachnospiraceae_NK4A136_group	Time_c	Time_c	-0.0170098540263504	0.00211941476636646	500	498	1.31859224427162e-14	3.55005604226975e-14
Anaerostipes	Time_c	Time_c	-0.0257418467643761	0.00320946349866708	500	477	1.36638180478215e-14	3.58675223755315e-14
Family_XIII_AD3011_group	Time_c	Time_c	0.0226653688055486	0.00283643075461865	500	202	1.68019873482474e-14	4.30294797942921e-14
Acidaminococcus	Time_c	Time_c	0.0223210785227874	0.00284349305507404	500	290	4.43476776235453e-14	1.10869194058863e-13
Butyricicoccus	Time_c	Time_c	-0.0236688346590774	0.00302718651490715	500	411	5.48613111545436e-14	1.33963666772723e-13
Streptococcus	Time_c	Time_c	-0.0276781896386279	0.00354520745279428	500	214	5.9356956784615e-14	1.41647283236013e-13
Prevotella	Time_c	Time_c	0.0142216840622269	0.00182399668859269	500	490	6.36406211882427e-14	1.48494782772566e-13
X.Eubacterium._hallii_group	Time_c	Time_c	-0.017279448853871	0.0022632886025728	500	497	1.90799119636137e-13	4.35519729604225e-13
Incertae_Sedis	Time_c	Time_c	-0.0282490284721452	0.00380511174649289	500	341	7.74465285622857e-13	1.73018840405106e-12
Parasutterella	Time_c	Time_c	-0.0168959691820846	0.00229037381076742	500	486	1.05471356651657e-12	2.307185926755e-12
Monoglobus	Time_c	Time_c	-0.0244941139595737	0.00337329057868513	500	424	2.24259726564298e-12	4.80556556923496e-12
Oscillospira	Time_c	Time_c	-0.0275014185207056	0.00385642051392903	500	382	5.17423804884812e-12	1.08658999025810e-11
Holdemanella	Time_c	Time_c	-0.0214090843766836	0.00301321556493648	500	353	6.11960478974092e-12	1.25991863318195e-11
Romboutsia	Time_c	Time_c	-0.0133163631241752	0.00188686736614969	500	482	8.28829277815609e-12	1.67359758020459e-11
